0,9,-1,-1
1,6,-1,-2
4,3,1,-1
3,7,-1,-2
1,4,-1,-3
3,1,1,-2
4,1,1,-1
5,4,1,0
5,1,1,1
4,5,-1,0
4,6,-1,-1
2,3,-1,-2
7,0,1,-1
0,5,-1,-2
1,2,-1,-3
3,2,1,-2
2,5,-1,-3
4,2,1,-2
4,9,-1,-3
6,1,1,-2
9,4,1,-1
4,2,1,0
2,4,-1,-1
2,7,-1,-2
9,6,1,-1
5,8,-1,-2
4,5,-1,-3
7,3,1,-2
2,5,-1,-3
2,4,-1,-4
1,3,-1,-5
1,8,-1,-6
2,5,-1,-7
10,12,-1,-8
7,6,1,-7
9,7,1,-6
3,0,1,-5
7,6,1,-4
1,5,-1,-5
8,1,1,-4
7,4,1,-3
4,9,-1,-4
1,3,-1,-5
10,2,1,-4
2,0,1,-3
1,4,-1,-4
9,15,-1,-5
7,2,1,-4
2,4,-1,-5
6,8,-1,-6
5,1,1,-5
11,9,1,-4
0,3,-1,-5
9,2,1,-4
7,8,-1,-5
5,4,1,-4
2,5,-1,-5
3,6,-1,-6
6,12,-1,-7
3,6,-1,-8
2,6,-1,-9
4,3,1,-8
3,8,-1,-9
4,9,-1,-10
