10-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,sd,53.21,ari,ari,4-2,,1,-113.72088053002778,+113.72088053002778
,atl,mia,-58.16,mia,mia,5-9,,2,+139.00573613766727,-139.00573613766727
,bal,bos,-55.67,bos,bos,0-2,,2,+125.58087074216107,-125.58087074216107
,pit,chc,54.02,pit,chc,0-4,1,,-117.48586341887778,+117.48586341887778
,chw,nyy,-57.12,nyy,nyy,1-6,,2,+133.20895522388057,-133.20895522388057
,nym,cin,60.29,nym,nym,8-1,,3,-151.82573659027955,+151.82573659027955
,cle,kc,-55.72,kc,kc,0-3,,2,+125.83559168925022,-125.83559168925022
,lad,col,59.47,lad,col,5-12,2,,-146.7308166790032,+146.7308166790032
,min,det,53.98,min,min,7-1,,1,-117.296827466319,+117.296827466319
,tex,hou,50.25,tex,hou,2-4,1,,-101.00502512562812,+101.00502512562812
,sea,laa,-54.48,laa,laa,2-3,,1,+119.68365553602811,-119.68365553602811
,mil,stl,-62.99,stl,mil,8-4,3,,+170.19724398811132,-170.19724398811132
,sf,oak,56.83,sf,sf,5-4,,2,-131.6423442205235,+131.6423442205235
,phi,wsh,-61.93,wsh,phi,12-5,3,,+162.67402153926977,-162.67402153926977
,tb,tor,-59.96,tor,tor,4-5,,2,+149.75024975024976,-149.75024975024976
,,,,,,,,
9-26-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,sd,51.28,ari,sd,0-3,1,,-105.25451559934318,+105.25451559934318
,atl,mia,-57.71,mia,mia,2-6,,2,+136.46252069047057,-136.46252069047057
,bal,bos,-52.91,bos,bos,0-8,,1,+112.35931195582927,-112.35931195582927
,pit,chc,53.15,pit,pit,4-0,,1,-113.44717182497331,+113.44717182497331
,chw,nyy,-56.79,nyy,nyy,1-2,,2,+131.42791020597082,-131.42791020597082
,nym,cin,58.37,nym,nym,10-2,,2,-140.21138601969733,+140.21138601969733
,cle,kc,-56.37,kc,cle,9-5,2,,+129.20009168003665,-129.20009168003665
,lad,col,59.71,lad,col,6-8,2,,-148.2005460412013,+148.2005460412013
,min,det,50.21,min,min,6-2,,1,-100.84354288009641,+100.84354288009641
,tex,hou,56.25,tex,hou,7-9,2,,-128.57142857142856,+128.57142857142856
,sea,laa,-53.79,laa,laa,2-3,,1,+116.40337589266392,-116.40337589266392
,mil,stl,-62.88,stl,stl,1-5,,3,+169.39655172413794,-169.39655172413794
,sf,oak,56.45,sf,sf,14-10,,2,-129.62112514351324,+129.62112514351324
,phi,wsh,-61.76,wsh,wsh,1-2,,3,+161.50627615062757,-161.50627615062757
,tb,tor,-59.56,tor,tor,8-10,,2,+147.27992087042531,-147.27992087042531
,,,,,,,,
9-25-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,sd,53.21,ari,ari,6-3,,1,-113.72088053002778,+113.72088053002778
,atl,mia,-57.34,mia,mia,11-12,,2,+134.41162681669013,-134.41162681669013
,bal,bos,-51.89,bos,bos,0-7,,1,+107.85699438786116,-107.85699438786116
,pit,chc,52.86,pit,pit,3-2,,1,-112.13406873143828,+112.13406873143828
,chw,nyy,-57.28,nyy,chw,5-2,2,,+134.08239700374534,-134.08239700374534
,nym,cin,57.92,nym,nym,12-5,,2,-137.6425855513308,+137.6425855513308
,cle,kc,-57.0,kc,cle,6-0,2,,+132.55813953488374,-132.55813953488374
,lad,col,59.98,lad,col,4-7,2,,-149.8750624687656,+149.8750624687656
,min,det,53.95,min,det,4-6,1,,-117.15526601520088,+117.15526601520088
,tex,hou,55.7,tex,tex,6-2,,2,-125.73363431151243,+125.73363431151243
,sea,laa,-53.05,laa,laa,4-8,,1,+112.99254526091586,-112.99254526091586
,mil,stl,-62.99,stl,mil,4-3,3,,+170.19724398811132,-170.19724398811132
,sf,oak,56.69,sf,oak,4-5,2,,-130.8935580697298,+130.8935580697298
,phi,wsh,-62.07,wsh,phi,8-2,3,,+163.6435539151068,-163.6435539151068
,tb,tor,-59.21,tor,tor,3-5,,2,+145.15812699190977,-145.15812699190977
,,,,,,,,
