,nyi,car,2.21,nyi,car,1,,3-6
,ott,cbj,3.01,ott,cbj,1,,2-4
,wsh,dal,-5.5,dal,dal,,1,3-4
,wpg,edm,-1.65,edm,wpg,1,,2-1
,nsh,fla,-4.0,fla,nsh,1,,5-0
,nj,phi,0.97,nj,nj,,1,2-1
,tor,van,-6.48,van,tor,1,,5-2
,,,,,,,,
2-12-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,cgy,ari,-0.56,ari,ari,,1,1-4
,mtl,buf,3.22,mtl,buf,1,,4-6
,pit,car,0.03,pit,pit,,1,2-1
,col,det,2.58,col,col,,1,3-2
,stl,fla,-2.18,fla,stl,1,,5-3
,la,nyr,0.47,la,la,,1,5-4
,nsh,tb,-0.36,tb,tb,,1,3-4
,,,,,,,,
2-11-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,cbj,3.45,ana,cbj,1,,3-4
,bos,wpg,-1.45,wpg,bos,1,,6-2
,buf,phi,2.66,buf,phi,1,,1-5
,cgy,sj,-4.37,sj,cgy,1,,6-5
,dal,chi,-3.77,chi,dal,1,,4-2
,col,ott,0.35,col,col,,1,4-3
,tor,edm,-2.35,edm,edm,,1,2-5
,la,nyi,4.02,la,nyi,1,,2-5
,wsh,min,10.42,wsh,wsh,,1,4-3
,,,,,,,,
2-10-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,van,ari,1.31,van,van,,1,2-1
,ott,det,-0.86,det,det,,1,1-3
,nyr,pit,-0.21,pit,nyr,1,,3-0
,,,,,,,,
2-9-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,phi,7.76,ana,ana,,1,4-1
,la,bos,-0.51,bos,la,1,,9-2
,fla,buf,7.32,fla,fla,,1,7-4
,tor,cgy,-3.77,cgy,cgy,,1,3-4
,sj,chi,-7.1,chi,sj,1,,2-0
,van,col,-2.15,col,van,1,,3-1
,nyi,cbj,4.49,nyi,nyi,,1,3-2
,dal,min,3.32,dal,dal,,1,4-3
,edm,nj,-2.05,nj,nj,,1,1-2
,tb,mtl,6.34,tb,mtl,1,,2-4
,wsh,nsh,1.08,wsh,wsh,,1,5-3
,wpg,stl,-6.63,stl,wpg,1,,2-1
,,,,,,,,
2-8-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,pit,-1.01,pit,pit,,1,2-6
,fla,det,9.07,fla,det,1,,0-3
,nj,nyr,-1.87,nyr,nyr,,1,1-2
,tb,ott,4.58,tb,ott,1,,1-5
,,,,,,,,
2-7-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,car,mtl,0.73,car,mtl,1,,1-2
,edm,nyi,-9.74,nyi,nyi,,1,1-8
,phi,wsh,-5.06,wsh,wsh,,1,2-3
,,,,,,,,
2-6-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,bos,-0.25,bos,bos,,1,1-2
,cgy,van,1.25,cgy,cgy,,1,4-1
,chi,dal,-3.68,dal,chi,1,,5-1
,wpg,col,-9.01,col,wpg,1,,4-2
,nyi,det,0.55,nyi,det,1,,1-5
,edm,mtl,4.96,edm,mtl,1,,1-5
,pit,fla,-4.15,fla,pit,1,,3-2
,min,stl,-4.12,stl,stl,,1,1-4
,sj,nsh,0.34,sj,nsh,1,,2-6
,wsh,nj,8.48,wsh,wsh,,1,3-2
,nyr,phi,-0.17,phi,nyr,1,,3-2
,tor,ott,-2.91,ott,ott,,1,1-6
,,,,,,,,
2-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,ana,-0.91,ana,ana,,1,2-5
,cbj,cgy,-0.08,cgy,cbj,1,,2-1
,car,wpg,-0.75,wpg,car,1,,5-3
,pit,tb,-6.32,tb,tb,,1,3-6
,,,,,,,,
2-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,la,-1.58,la,ana,1,,4-2
,chi,ari,6.79,chi,chi,,1,5-4
,bos,buf,6.55,bos,bos,,1,3-2
