Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won
7-4-2009,houston-astros,san-francisco-giants,-55.77%,126,-126,177,-208,51,82,$100,$177.0,$0,,,,,,,$100,$177.0,$0
7-4-2009,pittsburgh-pirates,miami-marlins,-55.29%,124,-124,127,-147,3,23,$100,$127.0,$0,,,,,,,,,
7-4-2009,new-york-mets,philadelphia-phillies,-50.27%,101,-101,125,-144,24,43,$100,$125.0,$0,,,,,,,,,
7-4-2009,toronto-blue-jays,new-york-yankees,-54.31%,119,-119,-119,100,38,19,$100,$100.0,$200.0,$100,$100.0,$200.0,$100,$100.0,$200.0,,,
7-4-2009,tampa-bay-rays,texas-rangers,50.56%,-102,102,-128,110,26,8,$100,$110.00000000000001,$210.0,,,,,,,,,
7-4-2009,atlanta-braves,washington-nationals,58.21%,-139,139,-142,121,3,18,,,,,,,,,,,,
,,,,,,,,,,$1100,$126.0,11.454545454545455%,$200,$0.0,0.0%,$100,$100.0,100.0%,$200,$93.0,46.5%
,,,,,,,,,,,,,,,,,,,,,,,,
7-5-2009,arizona-diamondbacks,colorado-rockies,-56.65%,131,-131,-103,-116,34,15,$100,$86.20689655172414,$0,$100,$86.20689655172414,$0,,,,,,
7-5-2009,baltimore-orioles,los-angeles-angels,-57.48%,135,-135,148,-172,13,37,$100,$148.0,$0,,,,,,,,,
7-5-2009,seattle-mariners,boston-red-sox,-56.71%,131,-131,236,-294,105,163,$100,$236.0,$0,,,,,,,$100,$236.0,$0
7-5-2009,milwaukee-brewers,chicago-cubs,-50.8%,103,-103,133,-158,30,55,$100,$133.0,$0,,,,,,,,,
7-5-2009,oakland-athletics,cleveland-indians,-50.01%,100,-100,175,-217,75,117,$100,$175.0,$275.0,,,,,,,$100,$175.0,$275.0
7-5-2009,detroit-tigers,minnesota-twins,-50.78%,103,-103,-126,108,29,11,$100,$108.0,$208.0,$100,$108.0,$208.0,$100,$108.0,$208.0,,,
7-5-2009,houston-astros,san-francisco-giants,-56.9%,132,-132,-117,-103,49,29,$100,$97.08737864077669,$0,$100,$97.08737864077669,$0,,,,,,
7-5-2009,pittsburgh-pirates,miami-marlins,-56.84%,132,-132,142,-169,10,37,$100,$142.0,$0,,,,,,,,,
7-5-2009,new-york-mets,philadelphia-phillies,-52.93%,112,-112,-105,-113,17,1,,,,,,,,,,,,
7-5-2009,toronto-blue-jays,new-york-yankees,-56.21%,128,-128,168,-204,40,76,$100,$168.0,$0,,,,,,,,,
7-5-2009,tampa-bay-rays,texas-rangers,-50.69%,103,-103,-135,114,38,17,$100,$113.99999999999999,$214.0,$100,$113.99999999999999,$214.0,$100,$113.99999999999999,$214.0,,,
7-5-2009,atlanta-braves,washington-nationals,57.86%,-137,137,-142,121,5,16,,,,,,,,,,,,
