1-1-2003,98.11,94.17,192.28,24.34567901234568,24.88888888888889,24.14814814814815,23.97530864197531,23.59259259259259,23.54320987654321,23.876543209876544,22.555555555555557
1-1-2004,98.66,101.62,200.28,24.02469135802469,23.80246913580247,24.753086419753085,25.59259259259259,25.209876543209877,24.753086419753085,26.28395061728395,24.80246913580247
1-1-2005,99.24,96.96,196.2,25.580246913580247,24.320987654320987,24.604938271604937,23.938271604938272,24.45679012345679,23.962962962962962,24.506172839506174,23.098765432098766
1-1-2006,103.17,103.38,206.55,25.296296296296298,25.54320987654321,25.703703703703702,24.876543209876544,25.25925925925926,25.185185185185187,25.901234567901234,25.123456790123456
1-1-2007,108.39,101.33,209.72,27.728395061728396,26.839506172839506,26.160493827160494,27.049382716049383,24.679012345679013,26.432098765432098,24.691358024691358,25.11111111111111
1-1-2008,106.7,99.11,205.81,26.938271604938272,26.74074074074074,26.753086419753085,25.74074074074074,24.839506172839506,25.493827160493826,23.666666666666668,24.555555555555557
1-1-2009,101.82,96.85,198.67,26.65432098765432,25.0,25.049382716049383,24.333333333333332,23.82716049382716,25.17283950617284,23.11111111111111,24.08641975308642
1-1-2010,101.29,95.2,196.49,26.08641975308642,25.51851851851852,24.59259259259259,24.333333333333332,23.34567901234568,23.691358024691358,23.444444444444443,24.14814814814815
1-1-2011,97.32,95.61,192.93,25.0,24.015384615384615,23.446153846153845,23.4,22.876923076923077,24.661538461538463,23.523076923076925,23.46153846153846
1-1-2012,102.24,101.12,203.36,26.246913580246915,25.641975308641975,24.876543209876544,25.246913580246915,25.839506172839506,26.14814814814815,25.074074074074073,23.88888888888889
1-1-2013,102.82,109.35,212.17,25.530864197530864,25.864197530864196,24.864197530864196,26.48148148148148,27.679012345679013,27.54320987654321,28.0,26.02469135802469
1-1-2014,98.44,105.08,203.51999999999998,23.530864197530864,25.17283950617284,23.97530864197531,24.34567901234568,23.54320987654321,26.864197530864196,26.0,26.012345679012345
1-1-2015,97.29,107.03,204.32,23.209876543209877,24.469135802469136,24.098765432098766,25.234567901234566,28.333333333333332,26.28395061728395,26.876543209876544,25.271604938271604
