det,tex,8-11,114,-142
bos,tb,13-5,-107,-119
nym,wsh,2-7,-181,145
min,cle,1-3,-121,-105
chw,nyy,2-4,100,-126
lad,pit,8-2,-185,147
det,chw,7-11,131,-163
mil,phi,1-6,168,-212
cin,ari,2-1,129,-158
tex,oak,4-7,-109,-116
sf,sd,8-6,102,-128
sea,laa,3-4,145,-181
mil,phi,3-7,112,-138
lad,col,0-1,-107,-119
chc,hou,5-0,0,0
min,bal,3-7,-181,140
tor,bos,3-4,110,-136
wsh,mia,7-8,135,-166
atl,nym,7-4,154,-196
kc,cle,13-3,158,-200
tb,nyy,4-8,120,-147
tor,bos,8-1,0,0
sf,sd,7-0,-123,102
min,bal,12-6,-151,123
cin,ari,3-2,118,-138
lad,col,5-1,-103,-117
tb,nyy,7-1,-133,106
atl,nym,0-5,175,-212
wsh,mia,2-4,158,-200
min,bal,12-2,-163,129
tor,bos,5-7,108,-131
kc,cle,8-4,173,-222
sea,laa,2-5,143,-178
atl,nym,3-2,221,-285
mil,phi,3-7,0,0
kc,cle,8-3,118,-144
sea,laa,3-5,131,-163
atl,nym,0-5,0,0
tex,oak,7-0,104,-131
sf,sd,5-2,145,-181
cin,ari,2-3,174,-222
lad,col,7-2,-129,102
wsh,mia,1-2,158,-200
tor,bos,0-7,125,-156
kc,cle,5-12,172,-217
sea,laa,4-7,-125,100
tex,oak,6-1,-101,-126
sf,sd,3-11,-131,104
tor,chw,6-4,-102,-125
pit,hou,0-6,245,-322
col,atl,4-8,106,-133
cle,bal,3-6,-114,-111
mil,phi,3-6,-119,-107
kc,min,3-2,240,-312
lad,sd,7-2,-185,149
tor,chw,5-6,-138,110
kc,min,1-7,193,-250
pit,hou,4-7,152,-196
col,atl,5-9,124,-153
wsh,nym,10-13,202,-263
cle,bal,7-1,-114,-111
tb,bos,4-2,162,-204
oak,det,5-2,179,-227
tex,sea,7-8,0,0
mia,phi,7-3,135,-166
nyy,laa,2-4,-121,-105
ari,sf,3-4,-161,129
cin,mil,3-4,238,-303
tor,chw,3-1,106,-133
ari,sf,4-5,-121,-103
tex,sea,7-3,129,-161
nyy,laa,7-1,154,-188
lad,sd,6-2,-172,138
kc,min,2-7,183,-232
pit,hou,3-9,160,-204
cin,mil,5-4,140,-175
col,atl,4-5,-103,-121
wsh,nym,8-10,193,-250
cle,bal,6-1,-102,-120
tb,bos,5-4,141,-175
oak,det,3-2,118,-147
mia,phi,10-8,125,-153
ari,sf,2-6,147,-185
nyy,laa,1-12,106,-133
lad,sd,0-4,-144,117
pit,hou,2-3,110,-136
cin,mil,5-4,117,-144
cle,bal,3-14,-135,108
tb,bos,0-3,172,-217
oak,det,8-14,150,-192
mia,phi,6-8,125,-156
phi,nym,3-6,120,-142
ari,lad,3-5,114,-142
pit,sf,6-11,104,-133
nyy,sea,2-5,-196,154
hou,col,7-5,125,-153
bos,tex,7-2,-142,114
cle,kc,3-1,-161,129
det,min,7-5,147,-185
