ny,cha,106-114,-200,167
tor,gs,100-138,265,-333
lac,lal,104-112,443,-625
no,phx,106-100,206,-250
sa,por,96-98,150,-181
wsh,den,94-114,1555,-4999
mem,chi,96-99,380,-500
min,okc,103-111,1500,-4999
cha,bos,83-81,928,-1666
det,cle,91-97,-196,162
phi,mia,99-111,316,-416
mil,ny,102-96,256,-322
sac,ind,110-93,229,-285
bkn,orl,85-95,927,-1666
no,utah,121-117,-196,162
min,dal,96-104,1440,-3333
sa,den,112-115,174,-212
wsh,lac,119-127,936,-1666
tor,phx,106-114,283,-357
gs,hou,112-131,341,-454
sac,mil,97-90,366,-476
orl,ny,111-99,-116,-105
utah,okc,94-106,597,-909
mem,bos,90-87,229,-285
mia,det,100-94,-500,370
ind,cha,111-88,104,-125
bkn,cle,98-94,-136,114
atl,phi,100-105,250,-312
phx,lal,137-139,261,-322
wsh,por,76-111,1325,-4999
chi,atl,114-81,-188,156
tor,den,90-123,734,-1249
gs,sa,96-111,600,-909
sac,chi,92-132,1425,-3333
utah,mem,85-103,305,-400
bos,ny,96-86,-126,104
ind,bkn,102-98,-166,138
orl,cle,97-86,-1111,708
por,lal,80-84,221,-277
gs,dal,73-101,365,-476
utah,hou,108-110,308,-400
tor,okc,95-93,1109,-2499
phx,lac,108-99,-104,-117
sac,min,127-95,156,-188
ny,mil,95-100,-133,110
det,atl,96-104,261,-333
bkn,wsh,92-98,-133,110
phi,por,101-110,260,-333
cha,sa,98-109,784,-1249
ind,mem,78-99,374,-500
bos,no,89-85,-119,-102
den,mia,98-103,316,-416
cle,lac,92-100,1112,-1999
min,lal,98-106,1210,-2499
gs,phx,97-108,187,-227
phi,sac,102-80,-196,161
sa,dal,97-91,119,-142
bos,hou,77-93,-140,118
bkn,mil,95-110,227,-285
cha,okc,82-99,551,-833
mia,atl,106-85,-277,221
ny,det,95-99,-172,144
chi,ind,108-115,-188,154
den,orl,82-85,196,-238
wsh,tor,107-116,326,-434
cle,por,70-111,1200,-2499
mem,ny,99-120,177,-217
chi,bkn,84-73,-270,218
dal,gs,112-106,-172,144
phi,lac,104-94,-104,-117
cle,sac,97-93,397,-526
min,utah,104-119,202,-250
cha,hou,78-94,257,-322
okc,mia,96-85,210,-263
orl,mil,93-89,-277,223
phx,no,95-100,167,-204
ind,bos,80-92,528,-833
tor,det,93-107,160,-192
den,atl,102-87,106,-129
dal,por,101-104,-128,106
wsh,chi,79-98,1380,-3333
mil,atl,85-110,188,-232
ny,ind,117-119,-208,170
orl,lal,84-97,200,-250
gs,sac,119-129,106,-126
phi,utah,107-112,-158,135
phx,hou,93-95,359,-476
lac,mem,82-105,202,-250
sa,mia,80-110,183,-222
den,no,114-103,119,-142
bos,bkn,79-88,-232,190
okc,wsh,116-89,-454,341
min,gs,77-100,261,-333
mil,bos,56-87,348,-454
ind,ny,106-93,397,-526
orl,phx,111-88,-263,215
okc,cle,95-75,-666,455
cha,tor,95-90,114,-136
lal,dal,96-91,-116,-105
det,den,101-131,415,-555
sa,hou,115-107,-106,-114
utah,chi,100-118,549,-833
phi,mil,74-102,117,-140
sac,no,103-115,423,-588
por,atl,82-91,-113,-106
lac,wsh,122-101,-135,112
mem,mia,85-118,313,-400
orl,gs,120-123,-212,174
sac,sa,103-108,670,-999
atl,chi,76-94,283,-370
utah,min,101-122,106,-128
det,okc,94-104,380,-500
lac,bkn,98-102,-140,117
por,cha,92-97,-196,163
bos,phi,86-89,-117,-103
ind,tor,98-108,-114,-106
den,phx,116-97,152,-181
ny,dal,109-127,175,-217
lal,mia,88-94,-117,-103
orl,sac,106-102,-625,438
det,sa,104-111,622,-999
ny,mem,110-108,148,-178
cle,mil,90-110,412,-555
ind,min,75-101,-105,-117
dal,no,92-93,-227,187
lac,bos,108-103,376,-500
gs,bkn,90-94,-125,102
chi,cha,101-84,-384,303
okc,phi,110-105,102,-125
utah,tor,96-94,104,-125
hou,phx,110-113,149,-178
