no,cle,84-99,437,-555
bkn,phi,98-103,-109,-105
wsh,cha,104-108,181,-212
det,ind,104-112,152,-178
por,hou,96-79,166,-192
sa,dal,116-90,-270,229
chi,den,110-115,119,-138
mil,utah,81-84,254,-312
sac,bkn,119-128,-217,183
bos,cle,104-103,241,-294
mem,ny,91-85,-208,177
lac,orl,107-93,-156,136
ind,atl,96-102,179,-212
mia,cha,98-95,145,-169
phi,wsh,94-106,359,-454
tor,por,110-103,104,-120
lal,no,99-96,405,-526
hou,phx,111-105,-344,286
ny,det,105-111,152,-175
min,lac,108-102,529,-714
chi,sac,107-102,149,-175
den,utah,81-85,296,-370
mia,dal,93-90,124,-144
no,sa,97-110,783,-1111
orl,okc,114-117,630,-909
gs,wsh,134-121,-588,438
det,bos,95-102,156,-185
ind,bkn,114-100,-263,220
cle,cha,97-106,-384,305
atl,phi,124-86,-357,293
min,lal,115-119,-181,156
mil,por,95-107,245,-294
tor,phx,104-97,-476,380
mia,hou,102-115,159,-185
bos,ny,97-89,-185,159
mil,sac,104-111,104,-123
tor,den,93-112,-192,163
chi,utah,96-105,181,-212
orl,sa,92-107,1474,-3333
dal,atl,97-112,210,-250
mem,no,110-95,123,-142
wsh,okc,98-114,429,-555
det,bkn,105-100,-294,243
cle,ind,111-106,-217,181
cha,lal,101-82,-172,147
min,por,93-96,231,-277
gs,ny,116-95,-625,483
phx,dal,78-91,359,-454
atl,mia,87-105,-147,125
bos,orl,114-119,-175,149
chi,lac,93-120,156,-181
sa,cle,103-117,-117,100
wsh,hou,123-122,161,-188
sac,mem,117-121,148,-172
den,ind,105-109,380,-476
bkn,no,103-105,334,-416
det,tor,107-111,290,-357
gs,phi,108-105,-4999,1627
lal,lac,93-105,1138,-1999
cha,por,91-109,200,-238
min,utah,90-103,333,-416
bkn,dal,79-91,319,-400
mia,mil,107-103,-112,-104
hou,okc,108-116,313,-384
orl,bos,94-113,304,-370
cle,det,114-106,-178,152
phx,ny,84-102,300,-370
chi,lal,114-91,-434,349
mil,mem,83-103,181,-212
sac,no,105-114,-222,190
ny,tor,93-103,664,-999
atl,ind,92-111,123,-142
den,wsh,117-113,267,-322
dal,gs,107-127,1652,-4999
cha,utah,73-102,234,-285
lac,atl,85-83,181,-217
okc,min,126-123,-285,235
hou,sa,99-130,393,-500
den,bos,103-111,412,-526
phi,det,97-110,661,-999
phx,cle,93-115,1732,-4999
dal,lal,92-90,-277,227
sac,por,97-112,171,-200
orl,mil,100-107,171,-200
mia,bkn,102-98,-163,140
okc,ny,128-122,-476,369
wsh,tor,89-106,307,-384
lac,ind,91-89,-109,-106
phx,phi,103-113,110,-128
sa,gs,90-120,169,-200
cha,sac,129-128,294,-357
atl,den,119-105,-169,146
det,utah,95-92,124,-144
mia,chi,89-84,250,-303
orl,mem,102-108,184,-217
hou,no,112-111,154,-181
min,cle,107-114,807,-1249
bos,wsh,116-91,127,-149
okc,bkn,106-116,-1666,952
bos,phi,112-92,-370,296
lac,tor,94-112,121,-140
dal,hou,104-115,141,-163
lal,por,103-121,591,-833
ind,sac,97-108,129,-149
det,den,101-104,-192,162
atl,phx,95-98,-769,567
chi,cle,96-83,480,-625
mem,min,101-106,-156,134
ny,cha,84-97,-120,102
mil,no,99-116,220,-263
ind,gs,110-122,799,-1249
sa,lal,108-95,-3333,1516
okc,dal,109-106,-285,233
mil,hou,98-102,122,-142
mia,tor,81-101,504,-666
chi,bos,101-110,142,-163
utah,bkn,108-86,-238,200
lac,ny,116-88,-133,114
cha,orl,120-116,173,-204
sa,phx,117-89,-3333,1541
atl,sac,88-91,-111,-104
mem,den,102-101,-142,123
lac,cle,102-115,227,-277
det,no,99-115,120,-138
sac,lal,112-93,-294,248
atl,por,104-98,-120,102
min,dal,94-106,227,-270
gs,chi,125-94,-256,217
det,hou,123-114,135,-156
cha,okc,95-109,405,-526
cle,bkn,91-78,-1249,805
utah,ny,111-118,122,-140
bos,tor,109-115,136,-156
phi,orl,96-87,283,-344
mia,wsh,87-106,188,-222
okc,den,110-104,-434,349
ind,phx,97-94,-232,196
min,no,99-114,187,-222
mil,mia,91-79,156,-181
hou,lac,132-140,185,-227
bos,dal,113-118,-131,112
gs,cle,132-98,136,-158
bkn,tor,100-112,599,-833
orl,atl,81-98,293,-357
chi,det,111-101,133,-153
no,mem,99-101,170,-200
utah,cha,119-124,136,-158
por,wsh,108-98,154,-181
phi,ny,113-119,425,-555
hou,lal,112-95,-526,417
ind,den,126-129,-135,117
mia,okc,74-99,429,-555
dal,sa,83-112,701,-999
phx,min,87-117,152,-178
sac,lac,110-103,159,-185
lal,utah,82-109,313,-384
ny,mem,95-103,192,-227
bkn,atl,86-114,497,-666
gs,det,95-113,-303,249
por,phi,89-114,-256,212
bos,wsh,119-117,-120,104
mil,cha,105-92,186,-217
cle,hou,91-77,-129,112
mia,den,98-95,-133,114
dal,chi,83-77,-102,-113
atl,mil,101-108,-192,162
cha,no,107-109,137,-158
phx,bos,103-117,380,-476
por,bkn,116-104,-172,149
wsh,ind,118-104,254,-312
min,okc,93-113,846,-1249
lal,gs,98-116,1623,-4999
sac,utah,103-101,127,-147
det,mem,101-103,-113,-103
cle,sa,95-99,221,-263
chi,phi,115-111,-416,333
tor,orl,106-103,-188,161
mia,lac,90-104,129,-149
utah,por,85-99,135,-158
no,sac,109-97,225,-270
gs,den,110-112,-526,418
ind,bos,94-103,142,-163
min,hou,104-107,290,-344
dal,okc,89-108,777,-1111
ny,bkn,104-110,-158,135
atl,cha,84-107,-147,127
mil,wsh,101-106,190,-222
no,lal,91-95,-133,117
cle,dal,110-107,-238,202
hou,mem,107-91,-129,112
chi,mil,101-106,-156,134
okc,min,101-96,-666,507
sa,det,109-99,-303,246
bos,ny,114-120,-117,100
phx,ind,97-116,662,-909
mia,gs,103-111,1007,-1666
wsh,chi,114-100,341,-416
sa,bkn,106-79,-1999,1098
utah,lal,86-74,-163,141
okc,por,110-115,-357,293
cha,den,92-95,-121,104
mil,ny,88-100,191,-227
ind,hou,103-107,112,-129
bos,mem,98-101,-142,123
cle,phi,95-85,-4999,1600
dal,min,93-87,-178,152
no,lac,111-114,415,-526
gs,sac,128-116,-400,330
mia,utah,83-98,-111,-103
bkn,det,89-103,518,-714
tor,phi,108-95,-476,376
wsh,orl,105-99,136,-156
chi,atl,105-120,121,-138
cha,lac,83-97,334,-416
okc,lal,117-113,-2499,1226
gs,por,128-108,-526,408
mia,phx,103-95,-208,177
ny,sa,99-100,1196,-1999
den,mem,84-91,199,-232
dal,mil,95-96,-108,-106
cle,min,125-99,-555,444
ind,no,91-86,-125,108
orl,bkn,83-77,-156,135
tor,wsh,97-88,-131,112
lal,sac,115-118,351,-434
bos,chi,92-101,216,-256
utah,hou,94-103,225,-270
atl,phi,126-98,-476,374
lac,por,109-98,-163,142
mem,okc,94-112,300,-370
cha,phx,102-111,-128,110
utah,sa,98-123,983,-1666
den,min,78-74,141,-163
dal,no,100-91,301,-370
det,bos,99-94,136,-156
tor,bkn,91-74,-303,252
ny,mia,98-90,284,-344
ind,orl,95-86,-158,137
cle,wsh,121-115,-333,278
gs,lal,109-88,-1999,1106
sac,dal,116-117,229,-277
ny,atl,107-101,285,-344
mil,chi,106-117,326,-400
cha,gs,101-111,674,-999
mem,por,91-78,-121,106
hou,utah,93-91,-153,134
sa,mil,123-98,-555,430
sac,okc,116-104,288,-357
bos,bkn,103-94,-322,266
orl,det,89-115,156,-181
ind,mia,100-103,108,-125
tor,cle,100-122,307,-384
min,phi,99-109,-250,212
phx,lal,77-97,-117,102
por,den,112-106,-131,114
mia,wsh,97-75,-114,-101
atl,ny,97-111,-192,164
chi,tor,115-113,150,-172
den,gs,108-111,1145,-1666
phi,lac,99-130,943,-1428
mem,utah,87-92,-125,110
hou,sa,103-121,565,-769
no,dal,105-98,145,-166
mil,min,95-85,108,-125
orl,cle,79-104,350,-434
okc,cha,109-90,-454,361
det,ind,82-94,163,-188
phx,sac,119-142,218,-256
bkn,bos,100-97,401,-500
phi,lal,84-93,124,-142
ny,chi,81-108,244,-294
dal,mia,82-106,118,-135
cha,tor,94-104,218,-256
orl,wsh,91-103,106,-121
por,utah,96-109,134,-156
lac,no,95-89,104,-120
phx,okc,106-110,1308,-2499
gs,hou,114-110,137,-156
min,det,90-115,301,-370
mil,ind,120-116,206,-243
den,por,103-110,211,-250
phi,sac,110-105,463,-588
gs,dal,91-114,-166,144
phx,sa,79-112,1266,-2499
ind,chi,100-102,131,-151
utah,min,80-94,152,-178
lal,bos,112-104,941,-1428
wsh,tor,91-94,273,-333
lac,cha,122-117,-133,116
bkn,orl,93-100,273,-333
cle,den,93-87,-270,225
atl,hou,121-115,142,-163
mia,mem,90-99,169,-196
mil,okc,123-131,948,-1428
det,ny,96-108,-123,106
sac,gs,103-122,1030,-1666
cle,phx,101-97,-526,413
phi,utah,91-95,340,-416
mil,dal,93-103,216,-256
min,sa,95-101,1013,-1666
tor,chi,97-104,102,-117
bkn,mia,111-105,288,-357
lal,cha,98-108,730,-1111
atl,ind,87-93,100,-116
no,orl,89-104,156,-181
lac,wsh,108-91,-102,-113
por,sac,98-94,351,-434
ny,bos,91-100,324,-400
den,okc,112-122,1626,-3333
lal,mem,96-112,441,-555
cle,por,76-105,-344,281
phi,phx,111-104,570,-769
lac,utah,109-104,-129,112
chi,dal,111-118,121,-138
den,sa,86-101,1108,-1999
ind,min,102-88,-175,150
ny,atl,98-117,280,-333
bos,det,99-93,-120,104
mem,cha,92-98,122,-140
hou,no,108-110,-116,100
mia,orl,108-101,174,-204
tor,mil,111-90,-149,129
wsh,bkn,111-96,-147,127
lac,lal,94-84,-1249,828
sa,hou,84-88,-303,254
cle,gs,83-89,238,-277
chi,okc,105-96,411,-526
no,mia,88-94,163,-188
utah,gs,85-103,924,-1428
okc,lal,120-85,-1999,1108
den,phx,104-96,355,-454
det,atl,100-107,225,-270
phi,mil,100-113,530,-714
sa,min,108-83,-714,521
por,no,89-115,279,-333
dal,bkn,119-118,-156,135
bos,cha,102-89,112,-129
ny,cle,84-91,796,-1249
sac,ind,108-106,243,-294
hou,orl,101-104,-104,-111
mem,wsh,91-100,-120,104
lal,den,111-107,189,-222
det,mia,93-92,127,-147
dal,tor,99-103,162,-188
mem,phi,104-90,-625,455
okc,lac,100-99,-128,110
phx,utah,89-110,154,-178
ind,sa,92-106,376,-476
por,atl,97-106,505,-666
bkn,chi,105-102,515,-666
cha,hou,95-102,134,-153
min,bos,99-113,279,-344
orl,ny,107-99,129,-149
sac,wsh,99-113,124,-144
no,den,130-125,-105,-109
atl,orl,103-100,-116,100
sac,tor,104-94,197,-232
mil,phx,101-95,239,-285
phi,cle,86-108,1545,-4999
min,bkn,100-85,-120,104
por,mia,109-116,177,-208
ind,mem,84-96,-109,-105
lac,hou,97-107,-138,119
chi,ny,91-107,114,-133
cha,wsh,101-109,-117,102
lal,okc,78-118,1362,-3333
mil,gs,112-121,1741,-4999
no,phx,88-104,134,-156
den,utah,88-97,181,-217
mem,dal,88-97,119,-138
det,chi,147-144,174,-204
tor,mia,108-94,159,-185
sac,min,95-99,-138,119
lac,sa,107-115,290,-357
atl,bos,109-101,143,-166
bkn,ind,97-104,470,-625
por,orl,94-102,156,-181
ny,phi,107-97,-256,215
hou,lal,107-87,-263,220
okc,cle,100-104,121,-140
tor,cha,99-109,-140,120
phx,gs,103-128,659,-909
mil,lac,90-103,571,-769
no,utah,104-94,135,-156
wsh,sa,95-114,815,-1249
phi,atl,106-127,928,-1428
mem,chi,85-98,156,-181
por,okc,90-106,449,-588
mia,bkn,104-98,-200,170
bos,det,116-119,119,-136
min,ny,102-107,161,-188
dal,ind,81-107,154,-181
cha,orl,98-113,-113,-102
mil,lal,95-113,-172,148
hou,sac,97-107,117,-135
den,min,112-100,211,-250
cle,bos,89-77,-116,100
no,por,101-105,135,-156
hou,den,108-114,-175,154
phx,dal,94-104,154,-178
utah,sa,81-118,748,-1111
mia,atl,100-88,217,-256
phi,chi,96-115,940,-1428
wsh,mem,95-112,144,-166
orl,bkn,105-82,-163,143
lac,det,105-103,-126,110
tor,ind,90-106,164,-188
utah,okc,98-104,380,-476
mem,mia,97-100,127,-147
phi,tor,76-96,681,-999
min,phx,101-108,194,-227
ny,por,112-110,140,-161
wsh,dal,114-111,229,-277
gs,mil,95-108,-500,394
sa,atl,103-78,-147,127
no,chi,94-98,266,-322
lal,hou,97-126,621,-833
ind,det,96-118,100,-114
bos,cha,98-93,129,-149
lac,bkn,105-100,-285,235
por,phx,106-96,150,-175
lal,sa,87-109,1356,-2499
min,den,108-111,-105,-108
okc,utah,94-90,-161,140
cha,mem,123-99,127,-147
wsh,no,105-107,143,-166
gs,bos,124-119,-212,181
mil,tor,83-90,280,-333
mia,ind,83-96,168,-196
cle,orl,111-76,-153,133
det,phi,107-95,-434,346
ny,sac,97-99,212,-250
lac,chi,80-83,-120,102
atl,okc,94-107,279,-344
phi,bkn,91-100,241,-294
atl,dal,98-95,-121,106
orl,phx,104-107,167,-196
ny,utah,85-106,127,-147
lac,mil,109-95,-222,189
lal,min,122-123,272,-333
mem,det,93-92,149,-172
sa,tor,94-97,-250,211
chi,bos,100-105,139,-163
mia,cha,81-99,-112,-103
hou,wsh,109-103,152,-175
utah,sac,106-114,121,-140
orl,den,85-74,-158,139
okc,mem,125-88,-131,114
hou,bkn,105-110,-204,173
por,cle,100-105,397,-500
gs,ind,131-123,-232,197
phx,chi,103-101,240,-285
por,mil,88-90,-114,-101
lac,min,110-106,-172,149
bos,no,111-93,-112,-103
wsh,mia,114-103,321,-400
dal,ny,104-97,-105,-109
lal,tor,93-102,615,-833
det,cha,84-104,121,-138
sa,phi,119-68,-588,455
sac,okc,95-98,598,-833
gs,bkn,114-98,-714,531
lal,det,91-111,420,-526
dal,wsh,116-104,-125,108
phx,mem,93-95,198,-232
orl,lac,101-103,112,-129
ind,utah,119-122,-123,106
ny,mil,91-106,-135,116
bos,sa,105-108,351,-434
cha,chi,102-96,194,-227
sac,hou,113-120,137,-158
cle,mia,84-99,173,-204
por,min,109-103,106,-123
gs,tor,112-109,-322,265
den,phi,108-105,-156,136
cle,no,108-114,-196,170
hou,dal,100-96,183,-212
lal,atl,87-100,569,-769
mil,det,95-102,231,-277
bkn,ny,91-108,141,-161
phx,wsh,106-109,-142,123
ind,por,111-123,-140,122
bos,sac,114-97,-138,120
sa,mem,103-83,-153,134
orl,utah,103-94,152,-178
den,tor,106-105,438,-555
okc,mia,95-97,-192,166
ind,lac,103-91,-128,112
mil,sa,70-95,677,-999
tor,atl,96-86,156,-181
den,chi,90-99,418,-526
no,hou,101-108,139,-161
phx,det,122-127,147,-169
phi,ny,87-99,343,-416
gs,cha,116-99,-454,366
lal,wsh,108-104,451,-588
dal,por,115-112,104,-120
orl,min,96-93,104,-120
mem,no,113-104,-105,-109
phx,bkn,91-94,-166,143
wsh,cle,97-85,376,-476
lal,phi,91-103,102,-119
por,lac,87-102,272,-322
dal,sac,98-112,110,-126
gs,utah,106-103,-333,276
okc,atl,100-106,-151,131
sa,chi,89-92,-181,156
den,mil,74-92,146,-169
hou,det,105-116,154,-178
bos,mia,105-95,156,-181
ind,lal,107-103,-555,425
hou,ny,116-111,-158,138
det,bkn,83-87,-200,170
phi,mem,84-92,813,-1249
bos,orl,91-110,-133,114
phx,tor,107-102,138,-161
min,lac,99-107,428,-555
mil,cha,82-87,234,-277
sac,gs,101-120,1348,-2499
lal,por,96-108,324,-400
no,utah,87-101,194,-232
den,dal,81-92,322,-400
atl,sa,88-108,264,-312
bkn,cle,88-90,382,-476
tor,wsh,84-82,-166,144
no,lac,90-111,229,-277
min,sac,101-91,131,-151
gs,phx,135-116,-400,326
sa,den,91-80,-357,290
phi,hou,114-116,540,-714
chi,ind,92-104,142,-166
atl,mem,116-101,127,-149
det,okc,87-103,309,-370
