Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won
2-6-2015,memphis-grizzlies,minnesota-timberwolves,83.87%,-520,520,-400,324,120,196,$100,$25.0,$0,$100,$25.0,$0,,,,$100,$25.0,$0
2-6-2015,miami-heat,san-antonio-spurs,-66.6%,199,-199,753,-1111,354,712,$100,$753.0,$0,,,,,,,$100,$753.0,$0
2-6-2015,new-orleans-pelicans,oklahoma-city-thunder,-69.18%,224,-224,219,-263,5,39,,,,,,,,,,,,
2-6-2015,utah-jazz,phoenix-suns,-66.44%,198,-198,181,-217,17,19,,,,,,,,,,,,
,,,,,,,,,,$800,$-590.0,-73.75%,$200,$10.0,5.0%,$100,$110.0,110.00000000000001%,$500,$-290.0,-57.99999999999999%
,,,,,,,,,,,,,,,,,,,,,,,,
2-7-2015,boston-celtics,milwaukee-bucks,-61.93%,163,-163,227,-277,64,114,$100,$227.0,$0,,,,,,,$100,$227.0,$0
2-7-2015,brooklyn-nets,washington-wizards,-62.86%,169,-169,221,-263,52,94,$100,$221.0,$0,,,,,,,$100,$221.0,$0
2-7-2015,charlotte-hornets,philadelphia-76ers,-50.85%,103,-103,-384,307,287,210,$100,$307.0,$407.0,$100,$307.0,$407.0,$100,$307.0,$407.0,$100,$307.0,$407.0
2-7-2015,chicago-bulls,new-orleans-pelicans,-58.4%,140,-140,-128,110,68,50,$100,$110.00000000000001,$0,$100,$110.00000000000001,$0,$100,$110.00000000000001,$0,$100,$110.00000000000001,$0
2-7-2015,portland-trail-blazers,dallas-mavericks,-59.26%,145,-145,120,-140,25,5,$100,$71.42857142857143,$171.42857142857144,$100,$71.42857142857143,$171.42857142857144,,,,,,
2-7-2015,golden-state-warriors,new-york-knicks,88.14%,-743,743,-2499,1207,1556,264,$100,$1207.0,$0,,,,,,,$100,$1207.0,$0
2-7-2015,sacramento-kings,utah-jazz,-61.03%,157,-157,194,-232,37,75,$100,$194.0,$0,,,,,,,,,
,,,,,,,,,,$700,$-121.57142857142856,-17.36734693877551%,$300,$278.42857142857144,92.80952380952382%,$200,$207.0,103.49999999999999%,$500,$-93.0,-18.6%
,,,,,,,,,,,,,,,,,,,,,,,,
2-8-2015,atlanta-hawks,memphis-grizzlies,-50.43%,102,-102,125,-144,23,42,$100,$125.0,$0,,,,,,,,,
2-8-2015,indiana-pacers,charlotte-hornets,-61.88%,162,-162,-128,108,90,70,$100,$108.0,$0,$100,$108.0,$0,$100,$108.0,$0,$100,$108.0,$0
2-8-2015,chicago-bulls,orlando-magic,73.15%,-272,272,-277,227,5,45,,,,,,,,,,,,
2-8-2015,los-angeles-lakers,cleveland-cavaliers,-82.18%,461,-461,1121,-1999,460,1338,$100,$1121.0,$0,,,,,,,$100,$1121.0,$0
2-8-2015,minnesota-timberwolves,detroit-pistons,-69.22%,225,-225,291,-357,66,132,$100,$291.0,$391.0,,,,,,,$100,$291.0,$391.0
2-8-2015,portland-trail-blazers,houston-rockets,-70.47%,239,-239,159,-185,80,54,$100,$54.05405405405405,$0,$100,$54.05405405405405,$0,,,,$100,$54.05405405405405,$0
2-8-2015,los-angeles-clippers,oklahoma-city-thunder,62.5%,-167,167,270,-322,237,289,$100,$270.0,$0,$100,$270.0,$0,$100,$270.0,$0,$100,$270.0,$0
2-8-2015,phoenix-suns,sacramento-kings,65.14%,-187,187,-344,283,157,96,$100,$283.0,$383.0,,,,,,,$100,$283.0,$383.0
2-8-2015,san-antonio-spurs,toronto-raptors,-58.42%,141,-141,-123,106,64,47,$100,$106.0,$206.0,$100,$106.0,$206.0,$100,$106.0,$206.0,$100,$106.0,$206.0
,,,,,,,,,,$800,$180.0,22.5%,$400,$-194.0,-48.5%,$300,$-94.0,-31.333333333333336%,$700,$280.0,40.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-9-2015,atlanta-hawks,minnesota-timberwolves,85.39%,-584,584,-263,220,121,164,$100,$38.02281368821293,$138.02281368821292,$100,$38.02281368821293,$138.02281368821292,,,,$100,$38.02281368821293,$138.02281368821292
2-9-2015,brooklyn-nets,milwaukee-bucks,-68.45%,217,-217,175,-208,42,9,$100,$48.07692307692307,$148.07692307692307,$100,$48.07692307692307,$148.07692307692307,,,,,,
2-9-2015,los-angeles-clippers,dallas-mavericks,-58.13%,139,-139,326,-400,187,61,$100,$326.0,$426.0,,,,,,,$100,$326.0,$426.0
2-9-2015,oklahoma-city-thunder,denver-nuggets,61.93%,-163,163,-270,222,107,59,$100,$222.00000000000003,$0,,,,,,,$100,$222.00000000000003,$0
2-9-2015,golden-state-warriors,philadelphia-76ers,90.38%,-940,940,-2499,1375,1359,235,$100,$1375.0,$0,,,,,,,$100,$1375.0,$0
2-9-2015,san-antonio-spurs,indiana-pacers,63.41%,-173,173,-192,163,19,10,,,,,,,,,,,,
2-9-2015,new-york-knicks,miami-heat,-66.09%,195,-195,167,-196,28,1,,,,,,,,,,,,
2-9-2015,utah-jazz,new-orleans-pelicans,-68.13%,214,-214,124,-144,90,70,$100,$69.44444444444444,$0,$100,$69.44444444444444,$0,,,,$100,$69.44444444444444,$0
2-9-2015,orlando-magic,washington-wizards,-72.57%,265,-265,483,-625,18,160,$100,$483.0,$0,,,,,,,,,
,,,,,,,,,,$700,$12.099736765135958,1.7285338235908512%,$300,$-13.900263234864042,-4.633421078288014%,$0,$0,0%,$500,$64.02281368821286,12.804562737642572%
,,,,,,,,,,,,,,,,,,,,,,,,
2-10-2015,brooklyn-nets,memphis-grizzlies,-80.16%,404,-404,743,-1111,139,507,$100,$743.0,$0,,,,,,,$100,$743.0,$0
2-10-2015,detroit-pistons,charlotte-hornets,-57.62%,136,-136,108,-125,28,11,$100,$80.0,$0,$100,$80.0,$0,,,,,,
2-10-2015,sacramento-kings,chicago-bulls,-68.8%,221,-221,507,-666,86,245,$100,$507.0,$0,,,,,,,$100,$507.0,$0
2-10-2015,denver-nuggets,los-angeles-lakers,50.15%,-101,101,-101,-114,0,15,,,,,,,,,,,,
,,,,,,,,,,$300,$-300,-100.0%,$100,$-100,-100.0%,$0,$0,0%,$200,$-200,-100.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-11-2015,atlanta-hawks,boston-celtics,74.44%,-291,291,-294,247,3,44,,,,,,,,,,,,
2-11-2015,miami-heat,cleveland-cavaliers,-69.71%,230,-230,692,-999,262,569,$100,$692.0,$0,,,,,,,$100,$692.0,$0
2-11-2015,utah-jazz,dallas-mavericks,-70.39%,238,-238,177,-208,61,30,$100,$48.07692307692307,$148.07692307692307,$100,$48.07692307692307,$148.07692307692307,,,,,,
2-11-2015,san-antonio-spurs,detroit-pistons,64.12%,-179,179,-270,225,91,46,$100,$225.0,$0,,,,,,,$100,$225.0,$0
2-11-2015,golden-state-warriors,minnesota-timberwolves,89.72%,-873,873,-500,390,173,283,$100,$20.0,$120.0,$100,$20.0,$120.0,,,,$100,$20.0,$120.0
2-11-2015,houston-rockets,los-angeles-clippers,-55.87%,127,-127,129,-149,2,22,$100,$129.0,$0,,,,,,,,,
2-11-2015,indiana-pacers,new-orleans-pelicans,-65.01%,186,-186,-116,100,102,86,$100,$100.0,$0,$100,$100.0,$0,$100,$100.0,$0,$100,$100.0,$0
2-11-2015,los-angeles-lakers,portland-trail-blazers,-83.3%,499,-499,996,-1666,297,967,$100,$996.0000000000001,$0,,,,,,,$100,$996.0000000000001,$0
2-11-2015,memphis-grizzlies,oklahoma-city-thunder,65.42%,-189,189,164,-192,153,181,$100,$164.0,$0,$100,$164.0,$0,$100,$164.0,$0,$100,$164.0,$0
