4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,min,edm,17.04,min,min,4-0,,6,-544.9377324562602,+544.9377324562602
,van,nj,13.28,van,nj,2-4,5,,-354.44505613400077,+354.44505613400077
,,,,,,,,
2-19-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,phi,-26.63,phi,buf,3-2,9,,+3269.8770068853946,-3269.8770068853946
,cbj,pit,-3.94,pit,cbj,2-1,2,,+138.03776322503202,-138.03776322503202
,sj,dal,0.57,sj,sj,5-2,,1,-100.0,+100.0
,fla,mtl,-15.38,mtl,fla,3-2,6,,+447.4998886975534,-447.4998886975534
,nsh,nyi,-3.97,nyi,nyi,2-5,,2,+138.45250642810228,-138.45250642810228
,van,nyr,-10.41,nyr,van,5-4,4,,+262.76252530548516,-262.76252530548516
,wpg,wsh,-13.16,wsh,wsh,1-5,,5,+349.90366507201213,-349.90366507201213
,,,,,,,,
2-18-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,tb,ana,-4.24,ana,tb,4-1,2,,+142.23627102507822,-142.23627102507822
,bos,edm,19.58,bos,edm,3-4,7,,-760.6129131697525,+760.6129131697525
,min,cgy,-1.81,cgy,min,3-2,1,,+111.22368303214336,-111.22368303214336
,det,chi,-3.17,chi,det,3-2,2,,+127.76445806991768,-127.76445806991768
,la,col,-3.1,col,la,4-1,2,,+126.86477241324367,-126.86477241324367
,mtl,ott,13.44,mtl,ott,2-4,5,,-360.61481728490656,+360.61481728490656
,,,,,,,,
2-17-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,buf,nj,-17.7,nj,nj,1-2,,6,+591.7282959572324,-591.7282959572324
,nyi,car,9.35,nyi,nyi,4-1,,4,-236.11519760542117,+236.11519760542117
,cbj,phi,-5.64,phi,cbj,5-2,2,,+163.4410896287731,-163.4410896287731
,dal,stl,-9.66,stl,dal,4-1,4,,+243.58092425134998,-243.58092425134998
,fla,tor,1.14,fla,fla,3-2,,1,-103.74943226855721,+103.74943226855721
,sj,nsh,-16.44,nsh,nsh,1-5,,6,+506.69649116709854,-506.69649116709854
,wsh,pit,0.19,wsh,wsh,3-1,,1,-100.0,+100.0
,,,,,,,,
2-16-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,col,-9.39,col,col,2-5,,4,+237.06410588939622,-237.06410588939622
,bos,cgy,-1.77,cgy,cgy,3-4,,1,+110.76563270164618,-110.76563270164618
,car,ott,-4.2,ott,car,6-3,2,,+141.66984915027686,-141.66984915027686
,mtl,det,6.9,mtl,mtl,2-0,,3,-185.1088693497406,+185.1088693497406
,edm,wpg,-13.19,wpg,wpg,4-5,,5,+351.03221506567246,-351.03221506567246
,tb,la,-1.76,la,la,2-3,,1,+110.65136035932301,-110.65136035932301
,min,van,4.26,min,van,2-3,2,,-142.52025613013362,+142.52025613013362
,nyr,nyi,-3.77,nyi,nyr,6-5,2,,+135.7085775065917,-135.7085775065917
,,,,,,,,
2-15-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,wsh,ana,-2.17,ana,wsh,5-3,1,,+115.41643082532059,-115.41643082532059
,phi,buf,12.02,phi,phi,2-1,,5,-310.1312154344899,+310.1312154344899
,pit,chi,-4.36,chi,chi,1-2,,2,+143.94797532684075,-143.94797532684075
,stl,fla,16.44,stl,stl,2-1,,6,-506.69649116709854,+506.69649116709854
,tb,sj,-4.57,sj,tb,5-2,2,,+146.9890568635452,-146.9890568635452
,,,,,,,,
2-14-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,nyr,ari,16.82,nyr,nyr,5-1,,6,-530.4736616298186,+530.4736616298186
,van,cgy,1.23,van,cgy,2-3,1,,-104.72943703221378,+104.72943703221378
,car,min,-14.06,min,min,3-6,,5,+385.83245905705246,-385.83245905705246
,dal,col,-0.51,col,col,1-4,,1,+100.0,-100.0
,cbj,nyi,-11.66,nyi,nyi,3-6,,4,+298.72171022975743,-298.72171022975743
,wpg,det,-12.7,det,wpg,5-4,5,,+333.1468445044421,-333.1468445044421
,edm,ott,-3.92,ott,ott,2-7,,2,+137.76188999268095,-137.76188999268095
,wsh,la,0.68,wsh,la,1-3,1,,-100.0,+100.0
,tor,mtl,-26.6,mtl,mtl,1-2,,9,+3235.9569483086902,-3235.9569483086902
,nj,nsh,-23.42,nsh,nsh,1-3,,8,+1434.1983546322454,-1434.1983546322454
,,,,,,,,
2-13-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,sj,ari,11.05,sj,sj,4-2,,4,-280.50235967572735,+280.50235967572735
,bos,van,-0.51,van,van,2-5,,1,+100.0,-100.0
,nj,chi,-13.06,chi,chi,1-3,,5,+346.17411753369527,-346.17411753369527
,phi,cbj,-6.86,cbj,cbj,3-4,,3,+184.37881648854741,-184.37881648854741
,fla,dal,2.9,fla,dal,0-2,1,,-124.32439584732155,+124.32439584732155
,,,,,,,,
2-12-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,car,3.54,ana,ana,2-1,,2,-132.6132240560441,+132.6132240560441
,cgy,la,15.22,cgy,la,3-5,6,,-439.3741980785671,+439.3741980785671
,nyr,col,5.5,nyr,nyr,6-3,,2,-161.19296033019944,+161.19296033019944
,edm,mtl,-19.04,mtl,edm,4-3,7,,+705.6942980539291,-705.6942980539291
,fla,min,-8.97,min,min,1-2,,3,+227.30614556080133,-227.30614556080133
,wpg,nsh,-15.99,nsh,nsh,1-3,,6,+480.36238543843564,-480.36238543843564
,tor,nyi,-20.01,nyi,nyi,2-3,,7,+808.9177964645788,-808.9177964645788
,pit,ott,4.41,pit,pit,5-4,,2,-144.66674079162738,+144.66674079162738
,stl,tb,-5.33,tb,stl,6-3,2,,+158.50303262531312,-158.50303262531312
,,,,,,,,
2-11-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,van,chi,-2.89,chi,van,5-4,1,,+124.1985365937205,-124.1985365937205
,det,pit,9.55,det,pit,1-4,4,,-240.9021960250757,+240.9021960250757
,wsh,sj,0.45,wsh,wsh,5-4,,1,-100.0,+100.0
,,,,,,,,
2-10-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,fla,9.25,ana,fla,2-6,4,,-233.76121765615153,+233.76121765615153
,ari,stl,-22.73,stl,stl,1-2,,8,+1257.5566379053967,-1257.5566379053967
,dal,bos,-5.01,bos,dal,5-3,2,,+153.55527537871532,-153.55527537871532
,ott,buf,7.2,ott,ott,2-1,,3,-190.6788967120987,+190.6788967120987
,edm,nyi,-20.95,nyi,nyi,2-3,,7,+931.6963586001062,-931.6963586001062
,min,wpg,8.19,min,wpg,1-2,3,,-210.32203496777652,+210.32203496777652
,phi,mtl,-17.0,mtl,mtl,1-2,,6,+542.2681138990695,-542.2681138990695
,tb,nsh,-9.15,nsh,nsh,2-3,,4,+231.43304898969186,-231.43304898969186
,nyr,tor,7.07,nyr,nyr,5-4,,3,-188.24451447657063,+188.24451447657063
,,,,,,,,
2-9-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,chi,-18.4,chi,ari,3-2,7,,+647.7091790789128,-647.7091790789128
,cgy,sj,6.47,cgy,cgy,4-1,,3,-177.41123956257812,+177.41123956257812
,la,cbj,-6.91,cbj,la,4-3,3,,+185.2918402271928,-185.2918402271928
,edm,nj,-15.56,nj,edm,2-1,6,,+456.8790961551291,-456.8790961551291
,van,min,0.86,van,min,3-5,1,,-100.74647507915083,+100.74647507915083
,,,,,,,,
2-8-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,tb,-5.08,tb,tb,3-5,,2,+154.62492470227534,-154.62492470227534
,mtl,bos,6.78,mtl,mtl,3-1,,3,-182.92744538731858,+182.92744538731858
,nyi,buf,16.46,nyi,nyi,3-2,,6,-507.9115155686056,+507.9115155686056
,chi,stl,-10.08,stl,chi,4-2,4,,+254.11990972303107,-254.11990972303107
,col,wpg,-5.11,wpg,wpg,3-5,,2,+155.08549767808688,-155.08549767808688
,dal,nyr,-9.08,nyr,dal,3-2,4,,+229.81847876750788,-229.81847876750788
,nsh,fla,6.4,nsh,nsh,3-2,,3,-176.18888137062422,+176.18888137062422
,phi,wsh,-11.52,wsh,phi,3-1,4,,+294.41992223792124,-294.41992223792124
,,,,,,,,
2-7-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,det,ari,13.95,det,det,3-1,,5,-381.19979148009014,+381.19979148009014
,nyi,bos,0.02,nyi,bos,1-2,1,,-100.0,+100.0
,dal,buf,19.04,dal,buf,2-3,7,,-705.6942980539291,+705.6942980539291
,car,sj,-9.2,sj,car,5-4,4,,+232.59393155226013,-232.59393155226013
,col,min,-7.73,min,min,0-1,,3,+200.9444242876813,-200.9444242876813
,cbj,ott,-4.84,ott,cbj,4-1,2,,+150.98648361009373,-150.98648361009373
,edm,tor,-10.23,tor,tor,1-5,,4,+258.0076793089196,-258.0076793089196
,la,tb,-25.13,tb,la,4-2,9,,+2099.8822685777386,-2099.8822685777386
,nj,mtl,-9.89,mtl,mtl,2-6,,4,+249.2901047555522,-249.2901047555522
,nyr,nsh,-2.62,nsh,nsh,2-3,,1,+120.84129129423151,-120.84129129423151
,pit,van,0.81,pit,van,0-5,1,,-100.21743613564328,+100.21743613564328
,,,,,,,,
2-6-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,wsh,5.67,ana,wsh,2-3,2,,-163.92675504693938,+163.92675504693938
,pit,cgy,-0.89,cgy,pit,4-0,1,,+101.06493643660248,-101.06493643660248
,chi,wpg,2.28,chi,chi,2-1,,1,-116.72328941645458,+116.72328941645458
,stl,cbj,19.65,stl,cbj,1-7,7,,-768.1834868285298,+768.1834868285298
,tor,nj,-17.85,nj,nj,1-4,,6,+603.135681314603,-603.135681314603
,,,,,,,,
2-5-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,nsh,-2.8,nsh,ana,5-2,1,,+123.0707137222454,-123.0707137222454
,car,ari,3.65,car,car,2-1,,2,-134.0856854756977,+134.0856854756977
,stl,buf,29.19,stl,stl,3-0,,10,-3746.1538461538544,+3746.1538461538544
,det,col,5.19,det,det,3-0,,2,-156.3200534968432,+156.3200534968432
,tb,dal,3.09,tb,tb,5-3,,2,-126.73669602141757,+126.73669602141757
,la,fla,-2.3,fla,fla,2-3,,1,+116.96221940743419,-116.96221940743419
,nyi,phi,2.22,nyi,nyi,3-2,,1,-116.0089398899922,+116.0089398899922
,wsh,ott,-1.87,ott,wsh,2-1,1,,+111.91365363362134,-111.91365363362134
,sj,van,-0.22,van,sj,5-1,1,,+100.0,-100.0
,,,,,,,,
2-4-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,nyr,1.74,bos,nyr,2-3,1,,-110.42310318899587,+110.42310318899587
,sj,cgy,-5.35,cgy,cgy,1-3,,2,+158.817249548379,-158.817249548379
,pit,edm,2.96,pit,pit,2-0,,1,-125.08185754764986,+125.08185754764986
,,,,,,,,
2-3-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,car,ana,-20.33,ana,ana,4-5,,7,+847.85747609322,-847.85747609322
,ari,cbj,-9.5,cbj,ari,4-1,4,,+239.69543904121085,-239.69543904121085
,buf,mtl,-27.74,mtl,buf,3-2,10,,+3746.1538461538544,-3746.1538461538544
,chi,min,10.25,chi,min,0-3,4,,-258.5311289488681,+258.5311289488681
,col,dal,-1.35,dal,col,3-2,1,,+106.0474939473549,-106.0474939473549
,fla,nyi,-18.18,nyi,fla,4-2,7,,+629.3402226270508,-629.3402226270508
,la,wsh,-6.34,wsh,wsh,0-4,,3,+175.14782420649252,-175.14782420649252
,tor,nsh,-26.59,nsh,nsh,3-4,,9,+3224.7875499522015,-3224.7875499522015
,ott,nj,-1.33,nj,nj,1-2,,1,+105.82690780925552,-105.82690780925552
,tb,stl,-14.67,stl,stl,1-2,,5,+412.8681467281576,-412.8681467281576
,wpg,van,-1.55,van,van,2-3,,1,+108.27361953909391,-108.27361953909391
,,,,,,,,
2-2-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,wpg,cgy,0.36,wpg,cgy,2-5,1,,-100.0,+100.0
,edm,sj,-20.15,sj,edm,5-4,7,,+825.6211359047352,-825.6211359047352
,fla,nyr,-14.19,nyr,nyr,3-6,,5,+391.39998460280054,-391.39998460280054
,,,,,,,,
2-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,mtl,-25.36,mtl,ari,3-2,9,,+2228.5670005067195,-2228.5670005067195
,min,van,-4.51,van,min,4-2,2,,+146.11418699640467,-146.11418699640467
,nsh,pit,-5.3,pit,nsh,4-0,2,,+158.03282007573208,-158.03282007573208
,stl,wsh,7.44,stl,stl,4-3,,3,-195.25845540022613,+195.25845540022613
,,,,,,,,
