5/29/2003,ana,away,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
5/30/2003,ana,away,6,8,0,3,0,0,0,1,0,1,1,0,1,0,1,0,3,3,0,0,,,,
5/31/2003,ana,away,6,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,
6/1/2003,ana,away,9,4,2,0,1,0,1,2,0,3,0,0,0,0,0,2,0,0,2,0,,,,
6/9/2003,phi,home,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,,,
6/10/2003,phi,home,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,
6/11/2003,phi,home,5,3,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4,0,0,0,,,,
6/13/2003,nym,home,3,7,1,0,0,4,0,2,0,0,0,0,0,0,0,2,1,0,0,0,,,,
6/14/2003,nym,home,13,3,0,2,0,1,0,0,0,0,0,2,1,4,3,0,0,0,3,0,,,,
6/15/2003,nym,home,0,8,0,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,,,,
6/16/2003,ana,away,3,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,,,,
6/17/2003,ana,away,4,8,0,1,0,0,0,2,0,1,0,1,0,1,0,4,0,2,0,0,,,,
6/18/2003,ana,away,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
6/19/2003,ana,away,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6/20/2003,ana,away,2,5,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,,,,
6/21/2003,ana,away,2,4,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,,,,
6/22/2003,ana,away,6,3,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,2,0,0,,,,
6/24/2003,sea,home,4,6,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,2,0,1,,,,
6/25/2003,sea,home,6,3,0,0,0,0,2,1,0,0,0,0,2,1,0,1,0,0,2,0,,,,
6/26/2003,sea,home,6,10,0,0,3,0,0,5,2,0,0,0,4,0,0,1,1,0,0,0,,,,
6/27/2003,la,home,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,
6/28/2003,la,home,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,,,,
6/29/2003,la,home,3,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,,,,
6/30/2003,tex,home,3,6,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,,,,
7/1/2003,tex,home,7,5,1,0,0,0,0,0,0,4,0,1,0,0,3,2,1,0,0,0,,,,
7/2/2003,tex,home,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,,,,
7/3/2003,tex,home,5,6,1,0,4,0,0,1,0,0,0,2,0,0,1,0,0,2,0,0,,,,
7/4/2003,ana,away,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7/5/2003,ana,away,6,3,3,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,,,,
7/6/2003,ana,away,5,6,0,1,0,0,0,0,0,2,2,0,0,0,3,0,1,1,0,1,,,,
7/8/2003,kc,home,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7/9/2003,kc,home,5,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,3,0,0,0,,,,
7/10/2003,kc,home,7,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,1,1,0,,,,
7/11/2003,min,home,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,,,,
7/12/2003,min,home,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,0,,,,
7/17/2003,ana,away,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,
7/18/2003,ana,away,5,6,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,1,0,,,,
7/19/2003,ana,away,4,8,1,1,1,0,0,0,1,0,0,3,4,0,0,0,0,0,1,0,,,,
7/20/2003,ana,away,6,7,0,0,0,0,0,0,0,1,5,1,0,0,0,1,5,0,0,0,,,,
7/21/2003,ana,away,2,3,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,,,,
7/22/2003,ana,away,3,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,,
7/23/2003,ana,away,9,12,4,0,2,0,0,2,1,0,0,2,5,0,3,0,1,1,0,0,,,,
7/24/2003,ana,away,10,6,0,3,2,0,1,0,0,3,1,0,0,0,0,0,2,1,1,2,,,,
7/25/2003,oak,home,2,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,,,,
7/26/2003,oak,home,1,8,2,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,,,,
7/27/2003,oak,home,1,10,1,2,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,,,,
7/28/2003,oak,home,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,,,,
7/29/2003,nyy,home,2,6,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,
7/30/2003,nyy,home,0,8,2,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,,,,
7/31/2003,nyy,home,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,
