11-2-2006,wsh,home,96,99,24,33,25,14,29,25,25,20
11-4-2006,nj,home,92,102,19,9,29,35,27,18,31,26
11-5-2006,det,away,84,117,22,18,22,22,38,20,31,28
11-7-2006,cle,home,93,105,24,21,19,29,24,27,23,31
11-11-2006,utah,home,84,99,21,14,23,26,18,27,23,31
11-13-2006,sea,home,121 OT,126,23,32,22,40,4,25,36,30,26,9
11-15-2006,phi,away,92,104,20,25,20,27,39,14,20,31
11-16-2006,phi,home,115,121,28,26,28,33,40,24,26,31
11-18-2006,bos,away,93,100,22,26,20,25,18,26,26,30
11-20-2006,mia,home,107,94,13,30,24,40,24,24,22,24
11-22-2006,phx,away,82,90,18,20,25,19,18,24,19,29
11-23-2006,lac,away,100,103,30,28,23,19,24,24,30,25
11-25-2006,sac,away,104,106,26,29,30,19,26,27,29,24
11-26-2006,gs,away,91,117,25,23,17,26,31,32,27,27
11-28-2006,dal,home,91,93,19,27,20,25,28,16,25,24
11-30-2006,mem,home,66,92,17,18,14,17,32,26,15,19
12-2-2006,atl,away,102,101,34,20,23,25,23,22,22,34
12-3-2006,nj,away,95,82,27,29,15,24,27,23,14,18
12-6-2006,wsh,away,111 OT,119,32,29,18,26,6,35,24,24,22,14
12-7-2006,lal,home,91,102,23,21,18,29,23,27,31,21
12-10-2006,cha,away,111,103,25,25,29,32,24,29,19,31
12-14-2006,chi,home,94,105,25,31,12,26,22,29,25,29
12-16-2006,gs,home,98,108,28,16,22,32,23,24,31,30
12-18-2006,phi,home,80,107,21,27,14,18,27,25,28,27
12-19-2006,orl,away,92,90,19,25,28,20,27,19,24,20
12-21-2006,hou,away,94,81,21,27,22,24,16,27,15,23
12-23-2006,sa,away,90,95,16,30,20,24,22,27,20,26
12-27-2006,det,away,106,113,29,16,30,31,32,31,27,23
12-28-2006,atl,home,108,102,35,18,26,29,26,25,28,23
12-30-2006,ind,away,99,97,22,23,23,31,31,24,22,20
1-3-2006,atl,away,108,97,23,29,21,35,25,28,27,17
1-4-2006,orl,home,121,97,28,33,26,34,22,20,26,29
1-6-2006,hou,home,112,92,21,27,29,35,20,24,23,25
1-8-2006,nj,home,104,105,23,28,22,31,29,19,28,29
1-9-2006,chi,away,104,113,37,10,29,28,33,30,21,29
1-11-2006,cha,home,95,86,20,13,30,32,27,18,18,23
1-15-2006,ny,home,129,103,35,31,31,32,26,27,26,24
1-17-2006,utah,away,98,111,22,25,25,26,27,27,33,24
1-18-2006,por,away,94,96,24,25,17,28,27,25,27,17
1-20-2006,sea,away,121,113,30,29,29,33,31,32,25,25
1-22-2006,lal,away,104,122,36,27,22,19,29,20,42,31
1-23-2006,den,away,101,107,22,32,19,28,26,26,25,30
1-25-2006,chi,home,88,104,16,25,25,22,28,28,21,27
1-27-2006,mil,away,87,108,24,20,12,31,27,27,25,29
1-29-2006,sac,home,124,123 OT,28,32,28,24,12,29,26,29,28,11
2-1-2006,wsh,home,117,112,25,25,31,36,22,26,21,43
2-3-2006,ny,home,104,90,30,34,20,20,17,30,24,19
2-5-2006,lac,home,113 OT,115,22,35,20,24,12,26,24,27,24,14
2-8-2006,sa,home,118 OT,125,21,23,32,38,4,30,24,28,32,11
2-10-2006,cha,away,88,73,23,13,34,18,11,26,17,19
2-12-2006,por,home,114,81,31,21,33,29,18,20,21,22
2-13-2006,min,away,98,94,27,26,24,21,24,24,22,24
2-15-2006,ny,away,96,98,32,17,20,27,23,24,25,26
2-21-2006,mem,away,88,94,19,31,21,17,22,21,29,22
2-25-2006,dal,away,113 OT,115,32,35,24,14,8,22,29,23,31,10
2-27-2006,mia,away,94,101,31,18,28,17,21,32,21,27
3-1-2006,atl,home,111 OT,113,24,28,27,26,6,30,20,31,24,8
3-4-2006,nj,away,100 OT,105,15,24,30,20,11,18,25,21,25,16
3-5-2006,bos,home,111,105,31,20,31,29,29,23,25,28
3-7-2006,cle,away,99,106,26,27,23,23,31,28,27,20
3-8-2006,cle,home,97,98,28,14,31,24,19,31,20,28
3-10-2006,den,home,97,108,26,21,21,29,25,25,26,32
3-12-2006,ind,home,93,89,23,21,29,20,23,28,24,14
3-14-2006,phi,away,111,97,28,26,24,33,30,23,32,12
3-15-2006,det,home,98,105,22,25,22,29,27,28,22,28
3-17-2006,mil,home,97,96,27,19,20,31,27,22,28,19
3-21-2006,ny,away,114,109,23,32,31,28,22,31,23,33
3-22-2006,bos,away,96,110,27,25,25,19,30,31,20,29
3-24-2006,min,home,97,77,24,30,25,18,8,27,26,16
3-26-2006,mil,away,116 OT,125,22,32,32,23,7,27,30,26,26,16
3-29-2006,mia,home,94,98,31,26,17,20,19,22,24,33
3-31-2006,phx,home,126,140,28,32,37,29,39,31,34,36
4-2-2006,no,home,113 2OT,120,19,23,30,23,18,25,28,27,15,25
4-4-2006,bos,home,120,124,31,30,29,30,31,32,26,35
4-5-2006,ind,away,103,111,21,29,31,22,29,25,32,25
4-7-2006,no,away,89,95,19,28,19,23,29,24,21,21
4-9-2006,cha,home,88,94,22,24,20,22,23,27,20,24
4-11-2006,mia,away,97,106,21,30,26,20,31,30,21,24
4-12-2006,orl,away,96,103,24,31,20,21,30,24,32,17
4-14-2006,det,home,108,103,23,29,18,38,24,23,29,27
4-17-2006,ind,home,95,120,29,22,17,27,40,30,33,17
