2-23-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,por,-69.81,por,por,,-69.81,104-112
,sac,den,-55.92,den,sac,-55.92,,114-110
,hou,utah,-59.29,utah,utah,,-59.29,114-117
,no,wsh,-57.21,wsh,wsh,,-57.21,89-109
,orl,phi,71.45,orl,orl,,71.45,124-115
,,,,,,,,
2-22-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,gs,atl,71.69,gs,gs,,71.69,102-92
,bos,min,68.91,bos,min,68.91,,122-124
,det,cle,-69.81,cle,det,-69.81,,96-88
,ind,mia,-55.04,mia,mia,,-55.04,93-101
,phx,lac,-74.04,lac,lac,,-74.04,84-124
,lal,mil,-70.09,mil,mil,,-70.09,101-108
,tor,ny,63.81,tor,tor,,63.81,122-95
,,,,,,,,
2-21-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,den,64.44,bos,bos,,64.44,121-101
,cha,bkn,68.5,cha,cha,,68.5,104-96
,lal,chi,-73.12,chi,chi,,-73.12,115-126
,cle,okc,-57.64,okc,cle,-57.64,,115-92
,phi,dal,-72.5,dal,dal,,-72.5,103-129
,no,det,-60.92,det,no,-60.92,,111-106
,ind,orl,-51.92,orl,ind,-51.92,,105-102
,mem,tor,-55.22,tor,tor,,-55.22,85-98
,sa,phx,89.68,sa,sa,,89.68,118-111
,utah,por,-59.07,por,por,,-59.07,111-115
,,,,,,,,
2-20-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mil,atl,-70.09,atl,mil,-70.09,,117-109
,gs,lac,67.0,gs,gs,,67.0,115-112
,wsh,mia,-57.51,mia,mia,,-57.51,94-114
,ny,min,55.23,ny,ny,,55.23,103-95
,,,,,,,,
2-19-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,atl,-57.61,atl,mia,-57.61,,115-111
,bos,utah,50.6,bos,utah,50.6,,93-111
,ny,bkn,52.55,ny,bkn,52.55,,98-109
,cha,mil,-56.24,mil,cha,-56.24,,98-95
,tor,chi,60.06,tor,chi,60.06,,106-116
,dal,orl,52.44,dal,orl,52.44,,104-110
,den,sac,-54.06,sac,sac,,-54.06,110-116
,det,wsh,-51.91,wsh,wsh,,-51.91,86-98
,gs,por,77.78,gs,por,77.78,,105-137
,hou,phx,61.64,hou,hou,,61.64,116-100
,ind,okc,-69.46,okc,ind,-69.46,,101-98
,sa,lal,93.24,sa,sa,,93.24,119-113
,min,mem,-75.59,mem,mem,,-75.59,104-109
,phi,no,-69.54,no,no,,-69.54,114-121
,,,,,,,,
2-18-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,chi,cle,-68.56,cle,cle,,-68.56,95-106
,sa,lac,68.06,sa,lac,68.06,,86-105
,utah,wsh,58.29,utah,wsh,58.29,,89-103
,,,,,,,,
2-11-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,wsh,mil,-52.19,mil,mil,,-52.19,92-99
,no,okc,-76.32,okc,okc,,-76.32,95-121
,,,,,,,,
2-10-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,chi,-54.64,chi,atl,-54.64,,113-90
,lac,bos,56.4,lac,bos,56.4,,134-139
,mem,bkn,66.33,mem,mem,,66.33,109-90
,cha,ind,-61.02,ind,cha,-61.02,,117-95
,lal,cle,-81.8,cle,cle,,-81.8,111-120
,den,det,-56.39,det,den,-56.39,,103-92
,gs,phx,90.52,gs,gs,,90.52,112-104
,hou,por,-56.0,por,por,,-56.0,103-116
,tor,min,74.21,tor,min,74.21,,112-117
,utah,no,50.41,utah,no,50.41,,96-100
,sa,orl,80.09,sa,sa,,80.09,98-96
,sac,phi,68.28,sac,sac,,68.28,114-110
,,,,,,,,
2-9-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,mil,68.37,bos,mil,68.37,,111-112
,utah,dal,-56.77,dal,utah,-56.77,,121-119
,hou,gs,-81.38,gs,gs,,-81.38,110-123
,sa,mia,75.97,sa,sa,,75.97,119-101
,wsh,ny,55.16,wsh,wsh,,55.16,111-108
,,,,,,,,
2-8-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,orl,atl,-76.34,atl,orl,-76.34,,117-110
,den,bkn,59.54,den,bkn,59.54,,104-105
,chi,cha,-57.92,cha,cha,,-57.92,91-108
,sac,cle,-70.62,cle,cle,,-70.62,100-120
,tor,det,57.97,tor,tor,,57.97,103-89
,lal,ind,-75.62,ind,ind,,-75.62,87-89
,lac,phi,82.6,lac,lac,,82.6,98-92
,por,mem,-60.41,mem,por,-60.41,,112-106
,no,min,-53.59,min,no,-53.59,,116-102
,okc,phx,80.82,okc,okc,,80.82,122-106
,,,,,,,,
2-7-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,orl,58.63,atl,orl,58.63,,94-96
,sac,bos,-63.02,bos,bos,,-63.02,119-128
,den,ny,-55.06,ny,den,-55.06,,101-96
,lac,mia,58.88,lac,lac,,58.88,100-93
,,,,,,,,
2-6-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,phi,52.2,bkn,phi,52.2,,98-103
,wsh,cha,-56.92,cha,cha,,-56.92,104-108
,chi,min,65.05,chi,min,65.05,,105-112
,no,cle,-72.96,cle,cle,,-72.96,84-99
,dal,mem,-69.78,mem,dal,-69.78,,114-110
,det,ind,-58.56,ind,ind,,-58.56,104-112
,okc,gs,-63.77,gs,gs,,-63.77,108-116
,por,hou,-57.27,hou,por,-57.27,,96-79
,lal,sa,-95.86,sa,sa,,-95.86,102-106
,utah,phx,65.95,utah,utah,,65.95,98-89
,,,,,,,,
2-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ind,atl,-57.83,atl,atl,,-57.83,96-102
,bos,cle,-58.79,cle,bos,-58.79,,104-103
,sac,bkn,61.25,sac,bkn,61.25,,119-128
,mia,cha,-56.65,cha,mia,-56.65,,98-95
,chi,den,59.42,chi,den,59.42,,110-115
