,lal,mem,-74.43029386666666,mem,mem,,5,119-128
,min,tor,-73.40728240987654,tor,tor,,5,105-114
,sa,sac,66.21911386666667,sa,sa,,4,108-92
,,,,,,,,
2-23-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,por,-69.5653613728395,por,por,,4,104-112
,sac,den,-51.167584879012345,den,sac,1,,114-110
,hou,utah,-56.654543960493825,utah,utah,,2,114-117
,no,wsh,-52.69668238024691,wsh,wsh,,1,89-109
,orl,phi,62.7404128,orl,orl,,3,124-115
,,,,,,,,
2-22-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,gs,atl,65.94293813333334,gs,gs,,4,102-92
,bos,min,62.67967023209877,bos,min,3,,122-124
,det,cle,-69.04805230617285,cle,det,4,,96-88
,ind,mia,-52.35522993580247,mia,mia,,1,93-101
,phx,lac,-75.5923488,lac,lac,,6,84-124
,lal,mil,-67.44888389135802,mil,mil,,4,101-108
,tor,ny,63.52220453333334,tor,tor,,3,122-95
,,,,,,,,
2-21-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,den,58.86582617283952,bos,bos,,2,121-101
,cha,bkn,59.49703946666666,cha,cha,,2,104-96
,lal,chi,-68.07078142222223,chi,chi,,4,115-126
,cle,okc,-51.99137831111112,okc,cle,1,,115-92
,phi,dal,-67.59418507654321,dal,dal,,4,103-129
,no,det,-57.71237944691357,det,no,2,,111-106
,ind,orl,51.7580272,ind,ind,,1,105-102
,mem,tor,-59.75289793580247,tor,tor,,2,85-98
,sa,phx,78.25720003950617,sa,sa,,6,118-111
,utah,por,-59.18626341728394,por,por,,2,111-115
,,,,,,,,
2-20-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mil,atl,-65.54054492839506,atl,mil,4,,117-109
,gs,lac,60.49381171358026,gs,gs,,3,115-112
,wsh,mia,-54.736928355555555,mia,mia,,1,94-114
,ny,min,-50.17295450864197,min,ny,1,,103-95
,,,,,,,,
2-19-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,atl,-52.65784469135802,atl,mia,1,,115-111
,bos,utah,51.062392039506165,bos,utah,1,,93-111
,ny,bkn,54.71264786172839,ny,bkn,1,,98-109
,cha,mil,50.07668193580246,cha,cha,,1,98-95
,tor,chi,57.91355248395062,tor,chi,2,,106-116
,dal,orl,50.479297866666656,dal,orl,1,,104-110
,den,sac,50.25896938271605,den,sac,1,,110-116
,det,wsh,-50.23475714567901,wsh,wsh,,1,86-98
,gs,por,64.55712875061728,gs,por,3,,105-137
,hou,phx,59.87838078024691,hou,hou,,2,116-100
,ind,okc,-67.59248596543209,okc,ind,4,,101-98
,sa,lal,78.73892675555555,sa,sa,,6,119-113
,min,mem,-66.33341855802469,mem,mem,,4,104-109
,phi,no,-66.10060568888889,no,no,,4,114-121
,,,,,,,,
2-18-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,chi,cle,-65.683786854321,cle,cle,,4,95-106
,sa,lac,57.52799233580247,sa,lac,2,,86-105
,utah,wsh,53.72905209876543,utah,wsh,1,,89-103
,,,,,,,,
2-11-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,wsh,mil,51.45928549135803,wsh,mil,1,,92-99
,no,okc,-73.77821897283951,okc,okc,,5,95-121
,,,,,,,,
2-10-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,chi,-51.14760746666666,chi,atl,1,,113-90
,lac,bos,53.444896928395046,lac,bos,1,,134-139
,mem,bkn,60.52567546666666,mem,mem,,3,109-90
,cha,ind,-56.77636596543209,ind,cha,2,,117-95
,lal,cle,-78.0293407506173,cle,cle,,6,111-120
,den,det,-58.49061111111111,det,den,2,,103-92
,gs,phx,80.1580187654321,gs,gs,,7,112-104
,hou,por,-53.88897382716049,por,por,,1,103-116
,tor,min,69.11229067654321,tor,min,4,,112-117
,utah,no,52.46819352098765,utah,no,1,,96-100
,sa,orl,67.94291129876544,sa,sa,,4,98-96
,sac,phi,56.277184928395066,sac,sac,,2,114-110
,,,,,,,,
2-9-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,mil,59.587940800000005,bos,mil,2,,111-112
,utah,dal,-53.06518507654321,dal,utah,1,,121-119
,hou,gs,-73.8137346765432,gs,gs,,5,110-123
,sa,mia,62.42084913580247,sa,sa,,3,119-101
,wsh,ny,52.40144346666667,wsh,wsh,,1,111-108
,,,,,,,,
2-8-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,orl,atl,-65.27602045432099,atl,orl,4,,117-110
,den,bkn,55.106629669135806,den,bkn,2,,104-105
,chi,cha,-52.40465865679012,cha,cha,,1,91-108
,sac,cle,-67.4254195654321,cle,cle,,4,100-120
,tor,det,54.43231971358025,tor,tor,,1,103-89
,lal,ind,-71.40680246913581,ind,ind,,5,87-89
,lac,phi,74.2926592691358,lac,lac,,5,98-92
,por,mem,-59.16415278024691,mem,por,2,,112-106
,no,min,50.67941919999999,no,no,,1,116-102
,okc,phx,72.03507386666666,okc,okc,,5,122-106
,,,,,,,,
2-7-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,orl,54.76878942222222,atl,orl,1,,94-96
,sac,bos,-62.33362691358025,bos,bos,,3,119-128
,den,ny,-53.730852454320996,ny,den,1,,101-96
,lac,mia,55.62628746666667,lac,lac,,2,100-93
,,,,,,,,
2-6-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,phi,50.7060072691358,bkn,phi,1,,98-103
,wsh,cha,-54.72696700246913,cha,cha,,1,104-108
,chi,min,59.0154173728395,chi,min,2,,105-112
,no,cle,-69.23678246913582,cle,cle,,4,84-99
,dal,mem,-62.47579989135802,mem,dal,3,,114-110
,det,ind,-51.0587577382716,ind,ind,,1,104-112
,okc,gs,-58.997019446913576,gs,gs,,2,108-116
,por,hou,-54.234605076543204,hou,por,1,,96-79
,lal,sa,-84.37212848395062,sa,sa,,7,102-106
,utah,phx,56.156047743209875,utah,utah,,2,98-89
,,,,,,,,
2-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ind,atl,-59.09928312098765,atl,atl,,2,96-102
,bos,cle,-58.63247555555556,cle,bos,2,,104-103
,sac,bkn,60.749555861728396,sac,bkn,3,,119-128
,mia,cha,-50.774619664197544,cha,mia,1,,98-95
,chi,den,53.60604968888889,chi,den,1,,110-115
,sa,dal,61.46588682469136,sa,sa,,3,116-90
,lac,orl,61.56209146666667,lac,lac,,3,107-93
,mem,ny,51.559223466666666,mem,mem,,1,91-85
,mil,utah,-65.23409253333334,utah,utah,,4,81-84
,phi,wsh,-61.47735813333334,wsh,wsh,,3,94-106
,,,,,,,,
2-4-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ny,det,-59.96005971358025,det,det,,2,105-111
,hou,phx,58.12200089876543,hou,hou,,2,111-105
,lal,no,-66.69416030617285,no,lal,4,,99-96
,tor,por,53.36872341728395,tor,tor,,1,110-103
,,,,,,,,
2-3-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,phi,63.44268889876543,atl,atl,,3,124-86
,det,bos,-56.870815022222224,bos,bos,,2,95-102
,ind,bkn,60.853724533333335,ind,ind,,3,114-100
,cle,cha,59.08826611358025,cle,cha,2,,97-106
,chi,sac,-52.066955664197536,sac,chi,1,,107-102
,mia,dal,-54.6316528,dal,mia,1,,93-90
,den,utah,-60.22063052839506,utah,utah,,3,81-85
,gs,wsh,74.35974839506173,gs,gs,,5,134-121
,min,lac,-73.00984744691358,lac,min,5,,108-102
,no,sa,-76.6921824691358,sa,sa,,6,97-110
,orl,okc,-73.03800300246914,okc,okc,,5,114-117
,,,,,,,,
2-2-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,ny,53.5008048,bos,bos,,1,97-89
,mia,hou,51.2779448,mia,hou,1,,102-115
,min,lal,57.16986433580247,min,lal,2,,115-119
,mil,por,-61.991585935802476,por,por,,3,95-107
,tor,phx,66.13243941728396,tor,tor,,4,104-97
,,,,,,,,
2-1-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,dal,atl,-52.402967249382705,atl,atl,,1,97-112
,det,bkn,59.972694972839506,det,det,,2,105-100
,chi,utah,-50.55064049382717,utah,utah,,1,96-105
,cle,ind,56.6333750617284,cle,cle,,2,111-106
,tor,den,64.22704833580246,tor,den,3,,93-112
,mem,no,-51.37177164444444,no,mem,1,,110-95
,mil,sac,-54.844655802469134,sac,sac,,1,104-111
,wsh,okc,-66.37072403950617,okc,okc,,4,98-114
,orl,sa,-76.73758359506172,sa,sa,,6,92-107
,,,,,,,,
4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ind,bos,-57.1136376691358,bos,bos,,2,87-100
,bkn,ny,67.76474222222222,bkn,bkn,,4,100-98
,det,cha,-52.12131135802469,cha,cha,,1,78-102
,chi,mil,55.70113555555556,chi,mil,2,,91-95
,dal,okc,-60.73172222222222,okc,dal,3,,135-131
,den,utah,-58.158066083950615,utah,utah,,2,84-98
,sac,hou,-72.71672008888888,hou,hou,,5,111-115
,lac,por,-54.36129191111112,por,lac,1,,126-122
,no,lal,60.519948780246914,no,no,,3,113-92
,tor,min,69.31933438024691,tor,tor,,4,113-99
,sa,orl,68.86336860246914,sa,sa,,4,103-91
,phi,wsh,-73.10308897777777,wsh,wsh,,5,93-106
,,,,,,,,
3-31-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,det,62.98430163950618,atl,det,3,,95-105
,ind,bkn,-51.66037382716049,bkn,bkn,,1,106-111
,gs,lac,52.809978232098764,gs,gs,,1,110-106
,sa,mia,54.52087675061728,sa,sa,,1,95-81
,,,,,,,,
3-30-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,mil,atl,-72.03112691358024,atl,atl,,5,88-101
,bos,cha,51.32131381728396,bos,bos,,1,116-104
,hou,tor,51.58449857777778,hou,tor,1,,96-99
,lal,phi,-53.1502564345679,phi,lal,1,,113-111
,sac,mem,-67.8901398617284,mem,mem,,4,83-97
,utah,min,63.91578712098765,utah,utah,,3,104-84
,phx,por,-62.970860246913574,por,por,,3,86-109
,,,,,,,,
3-29-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
