---- Start output ----
[07:27:00] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/pit/year/2016/seasontype/2/half/1/pittsburgh-pirates
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:01] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:27:01] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/pit/year/2016/seasontype/2/half/2/pittsburgh-pirates
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:02] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
