94,106,-1,-1
112,101,1,0
97,94,1,1
94,92,1,2
98,92,1,3
101,87,1,4
121,115,1,5
114,99,1,6
107,117,-1,5
106,98,1,6
93,106,-1,5
96,97,-1,4
88,90,-1,3
103,97,1,4
97,109,-1,3
121,97,1,4
95,99,-1,3
116,101,1,4
88,108,-1,3
106,100,1,4
86,96,-1,3
100,87,1,4
98,95,1,5
94,107,-1,4
78,103,-1,3
88,100,-1,2
127,106,1,3
109,101,1,4
103,100,1,5
106,97,1,6
107,100,1,7
117,98,1,8
87,93,-1,7
121,115,1,8
97,111,-1,7
101,107,-1,6
126,98,1,7
120,105,1,8
84,107,-1,7
101,108,-1,6
114,86,1,7
98,81,1,8
104,98,1,9
88,91,-1,8
95,98,-1,7
119,105,1,8
83,85,-1,7
92,111,-1,6
87,105,-1,5
112,97,1,6
124,86,1,7
102,96,1,8
94,96,-1,7
110,117,-1,6
113,90,1,7
111,115,-1,6
109,117,-1,5
92,102,-1,4
103,88,1,5
87,76,1,6
105,109,-1,5
106,77,1,6
107,97,1,7
91,84,1,8
96,104,-1,7
95,83,1,8
104,75,1,9
118,114,1,10
116,98,1,11
109,97,1,12
102,117,-1,11
122,101,1,12
101,90,1,13
112,95,1,14
102,100,1,15
97,105,-1,14
