1-1-2003,-9
1-1-2004,-26
1-1-2005,-59
1-1-2006,-33
1-1-2007,-23
1-1-2008,-7
1-1-2009,13
1-1-2010,24
1-1-2011,7
1-1-2012,13
1-1-2013,7
1-1-2014,-9
1-1-2015,40
1-1-2016,14
