1-1-2003,27,14
1-1-2004,18,23
1-1-2005,9,32
1-1-2006,18,24
1-1-2007,17,23
1-1-2008,25,15
1-1-2009,31,10
1-1-2010,33,7
1-1-2011,24,17
1-1-2012,22,10
1-1-2013,25,16
1-1-2014,24,17
1-1-2015,35,6
1-1-2016,24,13
,,
,,
,,
1-1-2003,9,31
1-1-2004,10,31
1-1-2005,4,40
1-1-2006,8,35
1-1-2007,12,29
1-1-2008,12,29
1-1-2009,16,24
1-1-2010,20,22
1-1-2011,20,20
1-1-2012,17,16
1-1-2013,19,21
1-1-2014,13,29
1-1-2015,26,15
1-1-2016,21,18
