Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
7-1-2011,arizona-diamondbacks,oakland-athletics,53.24%,-114,114,-101,-116,13,30,$100,$99.00990099009901,$0
7-1-2011,baltimore-orioles,atlanta-braves,-57.26%,134,-134,158,-185,24,51,$100,$158.0,$0
7-1-2011,boston-red-sox,houston-astros,60.16%,-151,151,-133,114,18,37,$100,$75.18796992481202,$175.18796992481202
7-1-2011,chicago-white-sox,chicago-cubs,54.81%,-121,121,-116,-101,5,22,$100,$86.20689655172414,$186.20689655172413
7-1-2011,cleveland-indians,cincinnati-reds,-52.36%,110,-110,104,-121,6,11
7-1-2011,kansas-city-royals,colorado-rockies,-54.76%,121,-121,136,-158,15,37,$100,$136.0,$0
7-1-2011,san-francisco-giants,detroit-tigers,-52.78%,112,-112,112,-129,0,17
7-1-2011,los-angeles-dodgers,los-angeles-angels,-53.43%,115,-115,100,-119,15,4
7-1-2011,milwaukee-brewers,minnesota-twins,-52.4%,110,-110,-119,100,29,10,$100,$100.0,$200.0
7-1-2011,new-york-yankees,new-york-mets,56.58%,-130,130,-109,-106,21,36,$100,$91.74311926605503,$191.74311926605503
7-1-2011,philadelphia-phillies,toronto-blue-jays,55.94%,-127,127,129,-151,56,78,$100,$129.0,$229.0,$100,$129.0,$229.0
7-1-2011,pittsburgh-pirates,washington-nationals,-51.87%,108,-108,129,-149,21,41,$100,$129.0,$0
7-1-2011,san-diego-padres,seattle-mariners,50.67%,-103,103,119,-138,22,41,$100,$119.0,$0
,,,,,,,,,,$1000,$-17.86201425740876,-1.786201425740876%,$100,$129.0,129.0%
,,,,,,,,,,,,,,,
7-2-2011,arizona-diamondbacks,oakland-athletics,52.88%,-112,112,108,-128,20,40,$100,$108.0,$208.0
7-2-2011,baltimore-orioles,atlanta-braves,-57.67%,136,-136,145,-169,9,33,$100,$145.0,$0
7-2-2011,boston-red-sox,houston-astros,60.38%,-152,152,-156,135,4,17
7-2-2011,chicago-white-sox,chicago-cubs,55.19%,-123,123,100,-117,23,40,$100,$100.0,$200.0
7-2-2011,cleveland-indians,cincinnati-reds,51.81%,-108,108,138,-161,46,69,$100,$138.0,$238.0,$100,$138.0,$238.0
7-2-2011,kansas-city-royals,colorado-rockies,-56.05%,128,-128,131,-151,3,23,$100,$131.0,$0
7-2-2011,san-francisco-giants,detroit-tigers,-50.13%,101,-101,164,-192,63,91,$100,$164.0,$264.0,$100,$164.0,$264.0
7-2-2011,los-angeles-dodgers,los-angeles-angels,-52.77%,112,-112,116,-135,4,23,$100,$115.99999999999999,$0
7-2-2011,milwaukee-brewers,minnesota-twins,-52.73%,112,-112,-113,-103,25,9,$100,$97.08737864077669,$0
7-2-2011,new-york-yankees,new-york-mets,57.06%,-133,133,-126,108,7,25,$100,$79.36507936507937,$179.36507936507937
7-2-2011,philadelphia-phillies,toronto-blue-jays,56.15%,-128,128,-169,146,41,18,$100,$146.0,$0
7-2-2011,pittsburgh-pirates,washington-nationals,-53.78%,116,-116,145,-169,29,53,$100,$145.0,$245.0
7-2-2011,san-diego-padres,seattle-mariners,50.77%,-103,103,106,-125,9,28,$100,$106.0,$206.0
,,,,,,,,,,$1200,$340.3650793650793,28.363756613756607%,$200,$302.0,151.0%
,,,,,,,,,,,,,,,
7-3-2011,arizona-diamondbacks,oakland-athletics,53.34%,-114,114,102,-120,16,34,$100,$102.0,$0
7-3-2011,baltimore-orioles,atlanta-braves,-58.16%,139,-139,143,-166,4,27,$100,$143.0,$243.0
7-3-2011,boston-red-sox,houston-astros,60.8%,-155,155,-204,175,49,20,$100,$175.0,$0
7-3-2011,chicago-white-sox,chicago-cubs,55.48%,-125,125,-133,116,8,9
7-3-2011,cleveland-indians,cincinnati-reds,52.25%,-109,109,154,-181,63,90,$100,$154.0,$0,$100,$154.0,$0
7-3-2011,kansas-city-royals,colorado-rockies,-58.5%,141,-141,131,-153,10,12
7-3-2011,san-francisco-giants,detroit-tigers,53.43%,-115,115,106,-123,21,38,$100,$106.0,$0
7-3-2011,los-angeles-dodgers,los-angeles-angels,-53.51%,115,-115,129,-149,14,34,$100,$129.0,$0
7-3-2011,milwaukee-brewers,minnesota-twins,-50.12%,100,-100,-120,102,20,2,$100,$102.0,$202.0
7-3-2011,new-york-yankees,new-york-mets,57.42%,-135,135,-138,120,3,15
7-3-2011,philadelphia-phillies,toronto-blue-jays,56.53%,-130,130,-188,161,58,31,$100,$161.0,$261.0
7-3-2011,pittsburgh-pirates,washington-nationals,-50.67%,103,-103,131,-153,28,50,$100,$131.0,$231.0
7-3-2011,san-diego-padres,seattle-mariners,51.32%,-105,105,-121,106,16,1,$100,$106.0,$206.0
,,,,,,,,,,$1000,$143.0,14.299999999999999%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,
7-4-2011,arizona-diamondbacks,milwaukee-brewers,-52.61%,111,-111,106,-123,5,12
7-4-2011,colorado-rockies,atlanta-braves,-54.28%,119,-119,118,-136,1,17
7-4-2011,baltimore-orioles,texas-rangers,-56.52%,130,-130,177,-208,47,78,$100,$177.0,$0,$100,$177.0,$0
7-4-2011,toronto-blue-jays,boston-red-sox,-56.52%,130,-130,129,-151,1,21
7-4-2011,chicago-cubs,washington-nationals,-56.24%,129,-129,123,-142,6,13
7-4-2011,kansas-city-royals,chicago-white-sox,-55.29%,124,-124,129,-151,5,27,$100,$129.0,$0
7-4-2011,new-york-yankees,cleveland-indians,56.39%,-129,129,-123,104,6,25,$100,$81.30081300813008,$0
7-4-2011,detroit-tigers,los-angeles-angels,-53.08%,113,-113,104,-120,9,7
7-4-2011,houston-astros,pittsburgh-pirates,-57.8%,137,-137,116,-135,21,2,$100,$74.07407407407408,$174.07407407407408
7-4-2011,new-york-mets,los-angeles-dodgers,53.85%,-117,117,102,-119,19,36,$100,$102.0,$202.0
7-4-2011,philadelphia-phillies,miami-marlins,58.12%,-139,139,-104,-113,35,52,$100,$96.15384615384615,$196.15384615384613
7-4-2011,tampa-bay-rays,minnesota-twins,57.02%,-133,133,-161,138,28,5,$100,$138.0,$238.0
7-4-2011,seattle-mariners,oakland-athletics,-50.56%,102,-102,-107,-109,9,7
7-4-2011,san-diego-padres,san-francisco-giants,-55.42%,124,-124,131,-151,7,27,$100,$131.0,$231.0
,,,,,,,,,,$800,$241.2279202279201,30.15349002849001%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,
7-5-2011,arizona-diamondbacks,milwaukee-brewers,-52.17%,109,-109,136,-158,27,49,$100,$136.0,$236.0
7-5-2011,colorado-rockies,atlanta-braves,-54.79%,121,-121,131,-153,10,32,$100,$131.0,$0
7-5-2011,baltimore-orioles,texas-rangers,-57.55%,136,-136,179,-208,43,72,$100,$179.0,$0
7-5-2011,toronto-blue-jays,boston-red-sox,-56.15%,128,-128,204,-243,76,115,$100,$204.0,$0,$100,$204.0,$0
7-5-2011,chicago-cubs,washington-nationals,-57.48%,135,-135,114,-131,21,4,$100,$76.33587786259541,$176.3358778625954
7-5-2011,kansas-city-royals,chicago-white-sox,-55.75%,126,-126,131,-153,5,27,$100,$131.0,$231.0
7-5-2011,new-york-yankees,cleveland-indians,55.92%,-127,127,-166,142,39,15,$100,$142.0,$0
7-5-2011,detroit-tigers,los-angeles-angels,-53.93%,117,-117,-116,-101,33,16,$100,$99.00990099009901,$199.00990099009903
7-5-2011,houston-astros,pittsburgh-pirates,-58.08%,139,-139,100,-117,39,22,$100,$85.47008547008548,$185.47008547008548
7-5-2011,new-york-mets,los-angeles-dodgers,54.41%,-119,119,112,-131,31,50,$100,$112.00000000000001,$212.0
7-5-2011,philadelphia-phillies,miami-marlins,58.34%,-140,140,-153,133,13,7
7-5-2011,tampa-bay-rays,minnesota-twins,56.27%,-129,129,-114,-103,15,32,$100,$87.71929824561404,$0
7-5-2011,seattle-mariners,oakland-athletics,52.41%,-110,110,-106,-111,4,21,$100,$94.33962264150944,$194.33962264150944
7-5-2011,san-diego-padres,san-francisco-giants,-54.24%,119,-119,131,-151,12,32,$100,$131.0,$231.0
,,,,,,,,,,$1300,$365.1554869642896,28.08888361263766%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,
7-6-2011,arizona-diamondbacks,milwaukee-brewers,-51.61%,107,-107,137,-158,30,51,$100,$137.0,$0
7-6-2011,colorado-rockies,atlanta-braves,-55.45%,124,-124,179,-208,55,84,$100,$179.0,$0,$100,$179.0,$0
7-6-2011,baltimore-orioles,texas-rangers,-58.05%,138,-138,160,-188,22,50,$100,$160.0,$0
7-6-2011,toronto-blue-jays,boston-red-sox,-56.37%,129,-129,102,-120,27,9,$100,$83.33333333333334,$183.33333333333334
7-6-2011,chicago-cubs,washington-nationals,-57.87%,137,-137,123,-142,14,5
7-6-2011,kansas-city-royals,chicago-white-sox,-55.29%,124,-124,127,-149,3,25,$100,$127.0,$227.0
7-6-2011,new-york-yankees,cleveland-indians,56.56%,-130,130,-111,-106,19,36,$100,$90.09009009009009,$0
7-6-2011,detroit-tigers,los-angeles-angels,-56.28%,129,-129,104,-123,25,6,$100,$81.30081300813008,$0
7-6-2011,houston-astros,pittsburgh-pirates,-58.48%,141,-141,102,-119,39,22,$100,$84.03361344537815,$0
7-6-2011,new-york-mets,los-angeles-dodgers,55.14%,-123,123,114,-133,37,56,$100,$113.99999999999999,$214.0
7-6-2011,philadelphia-phillies,miami-marlins,59.07%,-144,144,117,-136,61,80,$100,$117.0,$0,$100,$117.0,$0
7-6-2011,tampa-bay-rays,minnesota-twins,55.96%,-127,127,-101,-116,26,43,$100,$99.00990099009901,$199.00990099009903
7-6-2011,seattle-mariners,oakland-athletics,52.64%,-111,111,104,-123,15,34,$100,$104.0,$0
