Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
7-1-2010,oakland-athletics,baltimore-orioles,58.67%,-142,142,-147,125,5,17
7-1-2010,cincinnati-reds,chicago-cubs,55.39%,-124,124,118,-136,42,60,$100,$118.0,$218.0
7-1-2010,toronto-blue-jays,cleveland-indians,56.4%,-129,129,-131,114,2,15
7-1-2010,san-francisco-giants,colorado-rockies,-54.34%,119,-119,127,-147,8,28,$100,$127.0,$0
7-1-2010,houston-astros,san-diego-padres,-59.88%,149,-149,195,-232,46,83,$100,$195.0,$295.0,$100,$195.0,$295.0
7-1-2010,texas-rangers,los-angeles-angels,55.89%,-127,127,110,-128,37,55,$100,$110.00000000000001,$0
7-1-2010,tampa-bay-rays,minnesota-twins,51.08%,-104,104,100,-117,4,21,$100,$100.0,$200.0
7-1-2010,new-york-mets,washington-nationals,57.05%,-133,133,-135,117,2,16
7-1-2010,seattle-mariners,new-york-yankees,-60.56%,154,-154,301,-384,147,30,$100,$301.0,$0,$100,$301.0,$0
7-1-2010,philadelphia-phillies,pittsburgh-pirates,59.57%,-147,147,-196,167,49,20,$100,$167.0,$267.0
,,,,,,,,,,$700,$280.0,40.0%,$200,$95.0,47.5%
,,,,,,,,,,,,,,,
7-2-2010,los-angeles-dodgers,arizona-diamondbacks,57.81%,-137,137,-126,106,11,31,$100,$79.36507936507937,$0
7-2-2010,baltimore-orioles,boston-red-sox,-61.67%,161,-161,193,-232,32,71,$100,$193.0,$0
7-2-2010,cincinnati-reds,chicago-cubs,55.68%,-126,126,119,-140,45,66,$100,$119.0,$219.0,$100,$119.0,$219.0
7-2-2010,chicago-white-sox,texas-rangers,-56.59%,130,-130,139,-166,9,36,$100,$139.0,$239.0
7-2-2010,oakland-athletics,cleveland-indians,55.2%,-123,123,-121,100,2,23,$100,$82.64462809917356,$182.64462809917356
7-2-2010,san-francisco-giants,colorado-rockies,-56.84%,132,-132,-112,-106,44,26,$100,$94.33962264150944,$194.33962264150944
7-2-2010,seattle-mariners,detroit-tigers,-57.96%,138,-138,144,-172,6,34,$100,$144.0,$0
7-2-2010,houston-astros,san-diego-padres,-59.67%,148,-148,149,-175,1,27,$100,$149.0,$0
7-2-2010,kansas-city-royals,los-angeles-angels,-55.04%,122,-122,139,-163,17,41,$100,$139.0,$239.0
7-2-2010,tampa-bay-rays,minnesota-twins,53.46%,-115,115,-121,102,6,13
7-2-2010,new-york-mets,washington-nationals,56.78%,-131,131,-117,-101,14,32,$100,$85.47008547008548,$185.47008547008548
7-2-2010,toronto-blue-jays,new-york-yankees,-57.19%,134,-134,156,-185,22,51,$100,$156.0,$256.0
7-2-2010,philadelphia-phillies,pittsburgh-pirates,59.44%,-147,147,-149,127,2,20
,,,,,,,,,,$1100,$415.45433621076836,37.76857601916076%,$100,$119.0,119.0%
,,,,,,,,,,,,,,,
7-3-2010,los-angeles-dodgers,arizona-diamondbacks,57.06%,-133,133,-158,135,25,2,$100,$135.0,$0
7-3-2010,baltimore-orioles,boston-red-sox,-61.91%,163,-163,246,-303,83,140,$100,$246.0,$0,$100,$246.0,$0
7-3-2010,cincinnati-reds,chicago-cubs,57.41%,-135,135,-120,100,15,35,$100,$83.33333333333334,$0
7-3-2010,chicago-white-sox,texas-rangers,-55.97%,127,-127,138,-163,11,36,$100,$138.0,$0
7-3-2010,oakland-athletics,cleveland-indians,55.67%,-126,126,-104,-111,22,37,$100,$96.15384615384615,$0
7-3-2010,san-francisco-giants,colorado-rockies,-58.5%,141,-141,185,-222,44,81,$100,$185.0,$285.0
7-3-2010,seattle-mariners,detroit-tigers,-59.34%,146,-146,163,-192,17,46,$100,$163.0,$0
7-3-2010,houston-astros,san-diego-padres,-59.88%,149,-149,135,-161,14,12
7-3-2010,kansas-city-royals,los-angeles-angels,-54.32%,119,-119,152,-181,33,62,$100,$152.0,$252.0
7-3-2010,tampa-bay-rays,minnesota-twins,51.04%,-104,104,127,-151,31,55,$100,$127.0,$227.0
7-3-2010,new-york-mets,washington-nationals,57.05%,-133,133,161,-192,94,125,$100,$161.0,$0,$100,$161.0,$0
7-3-2010,toronto-blue-jays,new-york-yankees,-56.36%,129,-129,158,-188,29,59,$100,$158.0,$0
7-3-2010,philadelphia-phillies,pittsburgh-pirates,59.29%,-146,146,-119,-101,27,47,$100,$84.03361344537815,$184.03361344537814
,,,,,,,,,,$1200,$-251.96638655462186,-20.997198879551824%,$200,$-200,-100.0%
,,,,,,,,,,,,,,,
7-4-2010,los-angeles-dodgers,arizona-diamondbacks,58.12%,-139,139,-135,117,4,22,$100,$74.07407407407408,$174.07407407407408
7-4-2010,baltimore-orioles,boston-red-sox,-62.62%,168,-168,183,-222,15,54,$100,$183.0,$283.0
7-4-2010,cincinnati-reds,chicago-cubs,56.48%,-130,130,110,-129,40,59,$100,$110.00000000000001,$210.0
