Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
,,,,,,,,,,$1200,$157.59829059829053,13.13319088319088%,$300,$207.0,69.0%
,,,,,,,,,,,,,,,
7-5-2012,los-angeles-dodgers,arizona-diamondbacks,-50.92%,104,-104,162,-188,58,84,$100,$162.0,$262.0,$100,$162.0,$262.0
7-5-2012,chicago-cubs,atlanta-braves,-57.13%,133,-133,129,-149,4,16
7-5-2012,baltimore-orioles,los-angeles-angels,-54.27%,119,-119,122,-138,3,19,$100,$122.0,$0
7-5-2012,texas-rangers,chicago-white-sox,-50.2%,101,-101,-135,117,36,18,$100,$117.0,$217.0
7-5-2012,cincinnati-reds,san-diego-padres,57.58%,-136,136,-136,118,0,18
7-5-2012,tampa-bay-rays,cleveland-indians,-52.7%,111,-111,106,-123,5,12
7-5-2012,minnesota-twins,detroit-tigers,-55.49%,125,-125,129,-147,4,22,$100,$129.0,$0
7-5-2012,houston-astros,pittsburgh-pirates,-62.3%,165,-165,125,-144,40,21,$100,$69.44444444444444,$169.44444444444446
7-5-2012,kansas-city-royals,toronto-blue-jays,-54.29%,119,-119,124,-142,5,23,$100,$124.0,$224.0
7-5-2012,miami-marlins,milwaukee-brewers,-55.14%,123,-123,102,-119,21,4,$100,$84.03361344537815,$0
7-5-2012,philadelphia-phillies,new-york-mets,-53.88%,117,-117,100,-116,17,1,$100,$86.20689655172414,$186.20689655172413
7-5-2012,san-francisco-giants,washington-nationals,-54.17%,118,-118,-116,100,34,18,$100,$100.0,$200.0
,,,,,,,,,,$900,$358.6513409961685,39.85014899957428%,$100,$162.0,162.0%
,,,,,,,,,,,,,,,
7-6-2012,los-angeles-dodgers,arizona-diamondbacks,50.27%,-101,101,139,-161,40,62,$100,$139.0,$0
7-6-2012,atlanta-braves,philadelphia-phillies,54.01%,-117,117,-119,102,2,15
7-6-2012,baltimore-orioles,los-angeles-angels,-54.83%,121,-121,162,-185,41,64,$100,$162.0,$262.0
7-6-2012,new-york-yankees,boston-red-sox,53.34%,-114,114,-111,-105,3,19,$100,$90.09009009009009,$190.0900900900901
7-6-2012,chicago-cubs,new-york-mets,-59.26%,145,-145,150,-175,5,30,$100,$150.0,$250.0
7-6-2012,toronto-blue-jays,chicago-white-sox,-53.52%,115,-115,135,-156,20,41,$100,$135.0,$0
7-6-2012,cincinnati-reds,san-diego-padres,57.32%,-134,134,-119,102,15,32,$100,$84.03361344537815,$184.03361344537814
7-6-2012,tampa-bay-rays,cleveland-indians,-54.51%,120,-120,129,-149,9,29,$100,$129.0,$229.0
7-6-2012,colorado-rockies,washington-nationals,-59.52%,147,-147,198,-232,51,85,$100,$198.0,$298.0,$100,$198.0,$298.0
7-6-2012,kansas-city-royals,detroit-tigers,-52.14%,109,-109,172,-200,63,91,$100,$172.0,$0,$100,$172.0,$0
7-6-2012,milwaukee-brewers,houston-astros,54.3%,-119,119,-144,125,25,6,$100,$125.0,$0
7-6-2012,minnesota-twins,texas-rangers,-59.67%,148,-148,140,-161,8,13
7-6-2012,seattle-mariners,oakland-athletics,-53.79%,116,-116,143,-166,27,50,$100,$143.0,$0
7-6-2012,san-francisco-giants,pittsburgh-pirates,-56.84%,132,-132,131,-151,1,19
,,,,,,,,,,$1100,$313.1237035354684,28.46579123049713%,$200,$98.0,49.0%
